dataset,crop,family,variant_key,variant_label,success,error,cache_hit,seconds,detected_pixels,containment,qualitative_recall,q95_enclosure_ratio,short_crop
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,ganoderma,current_subtraction,Current subtraction,True,,True,0.00436895797611,47128,1.0,0.553489846971,0.763706265613,Image99_obj1
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,ganoderma,raw,Raw,True,,True,0.00613941700431,22897,1.0,0.268911412029,0.569825949216,Image99_obj1
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,ganoderma,local_contrast,Local contrast,True,,True,0.00600879100966,62347,0.996118498083,0.729385650698,0.946625438829,Image99_obj1
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,ganoderma,stretch_unsharp,Stretch + unsharp,True,,True,0.00601362498128,56348,1.0,0.661773168755,0.840159864745,Image99_obj1
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,ganoderma,current_subtraction,Current subtraction,True,,True,0.0115403330128,221599,1.0,0.535650143461,0.7299731436,Image99_obj2
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,ganoderma,raw,Raw,True,,True,0.0138352079957,514708,0.744612479309,0.926413037435,1.28881075652,Image99_obj2
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,ganoderma,local_contrast,Local contrast,True,,True,0.01392579198,354814,0.99859081096,0.85644946471,0.917193712857,Image99_obj2
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,ganoderma,stretch_unsharp,Stretch + unsharp,True,,True,0.0130472499877,274037,1.0,0.662403523318,0.815685365001,Image99_obj2
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,ganoderma,current_subtraction,Current subtraction,True,,True,0.00547441700473,104342,1.0,0.653542616626,0.807722504415,image167_obj1
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,ganoderma,raw,Raw,True,,True,0.00766608401318,2246,1.0,0.0140677456532,0.168478139827,image167_obj1
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,ganoderma,local_contrast,Local contrast,True,,True,0.00761762500042,145888,0.983055494626,0.898281304805,0.958146301916,image167_obj1
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,ganoderma,stretch_unsharp,Stretch + unsharp,True,,True,0.00731229101075,103027,0.999922350452,0.645256050509,0.850408690944,image167_obj1
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,ganoderma,current_subtraction,Current subtraction,True,,True,0.00511641599587,101627,1.0,0.601816814416,0.783396663009,image167_obj2
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,ganoderma,raw,Raw,True,,True,0.00707620798494,141694,0.999498920208,0.838665932361,0.935278107296,image167_obj2
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,ganoderma,local_contrast,Local contrast,True,,True,0.0069892500178,9681,1.0,0.0573291406847,0.257791048776,image167_obj2
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,ganoderma,stretch_unsharp,Stretch + unsharp,True,,True,0.00656587502453,108267,1.0,0.641137700083,0.830029409396,image167_obj2
GanodermaSubsetEven,image167_obj3_d000441_300_050_2026-06-15_21-41-45,ganoderma,current_subtraction,Current subtraction,True,,True,0.00566033300129,115563,1.0,0.643077744946,0.81653638181,image167_obj3
GanodermaSubsetEven,image167_obj3_d000441_300_050_2026-06-15_21-41-45,ganoderma,raw,Raw,True,,True,0.00726949999807,3468,1.0,0.0192985092069,0.15510929813,image167_obj3
GanodermaSubsetEven,image167_obj3_d000441_300_050_2026-06-15_21-41-45,ganoderma,local_contrast,Local contrast,True,,True,0.00714058298036,6129,1.0,0.0341062753543,0.21390056571,image167_obj3
