dataset,crop,short_crop,variant_key,variant_label,success,detected_pixels,containment,qualitative_recall,q95_enclosure_ratio,group_label,absolute_q95_error
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Image99_obj1,current_subtraction,Current subtraction,True,47128,1.0,0.553489846971,0.763706265613,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.236293734387
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Image99_obj1,raw,Raw,True,22897,1.0,0.268911412029,0.569825949216,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.430174050784
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Image99_obj1,local_contrast,Local contrast,True,62347,0.996118498083,0.729385650698,0.946625438829,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.0533745611708
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Image99_obj1,stretch_unsharp,Stretch + unsharp,True,56348,1.0,0.661773168755,0.840159864745,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.159840135255
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Image99_obj2,current_subtraction,Current subtraction,True,221599,1.0,0.535650143461,0.7299731436,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.2700268564
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Image99_obj2,raw,Raw,True,514708,0.744612479309,0.926413037435,1.28881075652,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.288810756522
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Image99_obj2,local_contrast,Local contrast,True,354814,0.99859081096,0.85644946471,0.917193712857,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.0828062871434
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Image99_obj2,stretch_unsharp,Stretch + unsharp,True,274037,1.0,0.662403523318,0.815685365001,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.184314634999
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,image167_obj1,current_subtraction,Current subtraction,True,104342,1.0,0.653542616626,0.807722504415,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.192277495585
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,image167_obj1,raw,Raw,True,2246,1.0,0.0140677456532,0.168478139827,"Ganoderma | 1% glucose + 1.2% yeast extract, pH 4",0.831521860173
