dataset,crop,method,zone,status,predicted_radius_px,hand_reference_radius_px,absolute_drift_px,normalized_drift,within_one_ring,available,retained_mask_fraction
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Legacy,CoreZone,legacy,167.717009703,164.40194646,3.31506324235,0.0204863943736,True,True,1.0
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Legacy,DenseZone,legacy,167.717009703,164.246765569,3.47024413348,0.0214453796787,True,True,1.0
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Legacy,SparseZone,legacy,167.717009703,161.817798774,5.89921092904,0.0364558841719,True,True,1.0
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Method B P95,CoreZone,collapsed,96.0,164.40194646,68.4019464605,0.42270965851,False,True,0.950061717047
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Method B P95,DenseZone,collapsed,96.0,164.246765569,68.2467655694,0.421750673205,False,True,0.950061717047
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Method B P95,SparseZone,collapsed,155.900609364,161.817798774,5.91718941002,0.0365669874072,True,True,0.950061717047
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Method B P100,CoreZone,collapsed,96.0,164.40194646,68.4019464605,0.42270965851,False,True,1.0
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Method B P100,DenseZone,collapsed,96.0,164.246765569,68.2467655694,0.421750673205,False,True,1.0
GanodermaSubsetEven,Image99_obj1_d000439_300_029_2026-06-15_21-23-40,Method B P100,SparseZone,collapsed,176.300879181,161.817798774,14.4830804072,0.0895023941554,False,True,1.0
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Legacy,CoreZone,legacy,137.607595064,375.968083752,238.360488688,0.659633322862,False,True,1.0
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Legacy,DenseZone,legacy,241.543590342,372.464763434,130.921173092,0.362308237053,False,True,1.0
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Legacy,SparseZone,legacy,329.173356217,361.353012994,32.1796567769,0.0890532405147,False,True,1.0
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Method B P95,CoreZone,exact,144.0,375.968083752,231.968083752,0.64194312877,False,True,0.949998574483
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Method B P95,DenseZone,exact,240.0,372.464763434,132.464763434,0.366579933391,False,True,0.949998574483
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Method B P95,SparseZone,exact,327.531448829,361.353012994,33.8215641657,0.0935970171811,False,True,0.949998574483
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Method B P100,CoreZone,exact,168.0,375.968083752,207.968083752,0.575526081901,False,True,1.0
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Method B P100,DenseZone,exact,312.0,372.464763434,60.4647634341,0.167328792786,False,True,1.0
GanodermaSubsetEven,Image99_obj2_d000439_300_029_2026-06-15_21-23-40,Method B P100,SparseZone,exact,370.753287241,361.353012994,9.40027424677,0.0260141023009,False,True,1.0
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Legacy,CoreZone,legacy,72.628940902,244.624201583,171.995260681,0.745883325161,False,True,1.0
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Legacy,DenseZone,legacy,141.653228305,243.393200388,101.739972083,0.44121069603,False,True,1.0
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Legacy,SparseZone,legacy,212.189205224,230.592714542,18.4035093178,0.0798095870217,False,True,1.0
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Method B P95,CoreZone,exact,72.0,244.624201583,172.624201583,0.748610822009,False,True,0.950023385699
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Method B P95,DenseZone,exact,160.0,243.393200388,83.3932003877,0.361647160246,False,True,0.950023385699
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Method B P95,SparseZone,exact,217.882996124,230.592714542,12.7097184183,0.0551176061372,False,True,0.950023385699
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Method B P100,CoreZone,exact,72.0,244.624201583,172.624201583,0.748610822009,False,True,1.0
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Method B P100,DenseZone,exact,192.0,243.393200388,51.3932003877,0.222874345747,False,True,1.0
GanodermaSubsetEven,image167_obj1_d000441_300_050_2026-06-15_21-41-45,Method B P100,SparseZone,exact,252.715254783,230.592714542,22.1225402406,0.095937724158,False,True,1.0
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Legacy,CoreZone,legacy,79.0840957004,199.060292374,119.976196674,0.517373853591,False,True,1.0
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Legacy,DenseZone,legacy,149.865996874,198.494332413,48.6283355388,0.209700174276,False,True,1.0
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Legacy,SparseZone,legacy,240.372465891,231.894588102,8.47787778888,0.0365591877682,False,True,1.0
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Method B P95,CoreZone,exact,80.0,199.060292374,119.060292374,0.513424195658,False,True,0.950008889357
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Method B P95,DenseZone,exact,168.0,198.494332413,30.4943324128,0.13150083692,False,True,0.950008889357
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Method B P95,SparseZone,exact,224.243171579,231.894588102,7.65141652304,0.0329952354027,True,True,0.950008889357
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Method B P100,CoreZone,exact,72.0,199.060292374,127.060292374,0.547922629043,False,True,1.0
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Method B P100,DenseZone,exact,200.0,198.494332413,1.50566758721,0.00649289661966,True,True,1.0
GanodermaSubsetEven,image167_obj2_d000441_300_050_2026-06-15_21-41-45,Method B P100,SparseZone,exact,258.451155927,231.894588102,26.5565678245,0.114519998254,False,True,1.0
GanodermaSubsetEven,image167_obj3_d000441_300_050_2026-06-15_21-41-45,Legacy,CoreZone,legacy,79.4810414964,209.611545484,130.130503987,0.52153854649,False,True,1.0
