dataset,method,boundary_availability,zone_geometry_availability,one_ring_accuracy,median_absolute_drift_px,median_normalized_drift,mean_retained_mask_fraction,canonical_failures,collapsed_fits
GanodermaSubsetEven,Legacy control,1.0,0.916666666667,0.208333333333,40.5881437964,0.144328301135,1.0,0,0
GanodermaSubsetEven,Corrected fixed P95,1.0,0.875,0.125,45.0283780308,0.290572483903,0.950047619611,0,3
GanodermaSubsetEven,Corrected fixed P100,1.0,0.875,0.0833333333333,29.0283780308,0.176078057906,1.0,0,3
GanodermaSubsetEven,Retuned P95,1.0,1.0,0.125,52.6498811428,0.248986708007,0.950047619611,0,0
GanodermaSubsetEven,Retuned P100,1.0,1.0,0.0416666666667,26.9052324459,0.118785379897,1.0,0,0
NeurosporaMenadione,Legacy control,1.0,1.0,0.5,7.27979869507,0.0855740029176,1.0,0,0
NeurosporaMenadione,Corrected fixed P95,1.0,1.0,0.75,5.93015674108,0.0562223622323,0.950128810193,0,0
NeurosporaMenadione,Corrected fixed P100,1.0,1.0,0.333333333333,21.1491872153,0.217461195332,1.0,0,0
NeurosporaMenadione,Retuned P95,1.0,1.0,0.75,4.90918292097,0.0490171927852,0.950128810193,0,0
NeurosporaMenadione,Retuned P100,1.0,1.0,0.333333333333,21.1491872153,0.217461195332,1.0,0,0
NeurosporaXylan,Legacy control,1.0,0.666666666667,0.0,27.1678305331,0.152964162656,1.0,0,0
NeurosporaXylan,Corrected fixed P95,1.0,1.0,0.25,32.1703380753,0.143423632026,0.949997450907,0,0
NeurosporaXylan,Corrected fixed P100,1.0,1.0,0.0833333333333,49.184023026,0.231141299955,1.0,0,0
NeurosporaXylan,Retuned P95,1.0,1.0,0.333333333333,17.9917968326,0.0984293555558,0.949997450907,0,0
NeurosporaXylan,Retuned P100,1.0,1.0,0.333333333333,26.9623689623,0.152150754416,1.0,0,0
Overall,Legacy control,1.0,0.875,0.229166666667,21.973257399,0.132683359356,1.0,0,0
Overall,Corrected fixed P95,1.0,0.9375,0.3125,25.0920977522,0.0964129214428,0.950055375081,0,3
Overall,Corrected fixed P100,1.0,0.9375,0.145833333333,29.0283780308,0.194155971025,1.0,0,3
Overall,Retuned P95,1.0,1.0,0.333333333333,14.109377183,0.0860859574775,0.950055375081,0,0
Overall,Retuned P100,1.0,1.0,0.1875,26.786451245,0.142390163361,1.0,0,0
