Colony,ConfigID,sigma,rho,num_iter,C,dt,alpha,Crossings,ReliableSkeletonPixels,MedianCrossingCoherence,MedianCrossingResultant,NeighborAngleMedianDeg,NeighborAngleP90Deg,NeighborPairs,NormalizedSourceRMSE,ManyToOneSupportedPoints,ManyToOneRawPeakDeg,PopulationSupportedRings,PopulationRawPeakDeg,CrossingRatio,ReliablePixelRatio,CoherenceGainFraction,P90RoughnessReductionFraction
R3C4,CONTROL,,,0,,,,602,7559,0.470813816271,0.997975609847,1.67169173745,5.64446064751,2899,0.0,123,45.0765739104,16,59.7516032166,1.0,1.0,0.0,0.0
R3C4,CED01,0.75,0.75,15,80.0,0.1,0.001,601,7586,0.48765838758,0.998054537755,1.6656614502,5.71646430957,2905,0.0483875308737,125,42.3631144498,17,60.00788054,0.998338870432,1.00357190105,0.0357775637134,-0.0127565176839
R3C4,CED02,0.75,0.75,15,95.0,0.1,0.001,606,7566,0.475398115299,0.998161780895,1.665384674,5.65478321309,2893,0.0336415968535,102,30.432562062,16,60.1718179954,1.00664451827,1.00092604842,0.00973696792646,-0.00182879573976
R3C4,CED03,0.75,0.75,30,80.0,0.1,0.001,599,7603,0.49561049015,0.998146641203,1.65400077428,5.86341609014,2922,0.0697499009133,125,40.8762885471,17,59.0124498029,0.995016611296,1.00582087578,0.0526676852338,-0.0387912072225
R3C4,CED04,0.75,0.75,30,95.0,0.1,0.001,605,7568,0.480058080864,0.998164907277,1.6679123727,5.65075735044,2901,0.0510428617035,103,30.5786564724,16,59.7817131094,1.0049833887,1.00119063368,0.0196346502017,-0.0011155544044
R3C4,CED05,0.75,1.5,15,80.0,0.1,0.001,600,7707,0.519001566422,0.998036141339,1.67816240271,6.06586152495,2971,0.0594168463936,126,40.1262006059,17,59.086842362,0.996677740864,1.01957930943,0.102349906664,-0.0746574214544
R3C4,CED06,0.75,1.5,15,95.0,0.1,0.001,603,7592,0.483319026139,0.998048913692,1.66582238446,5.78744691494,2912,0.0392658966724,128,43.6496748887,16,60.2423242298,1.00166112957,1.00436565683,0.0265608387763,-0.0253321400152
R3C4,CED07,0.75,1.5,30,80.0,0.1,0.001,600,7772,0.554288731022,0.998042278854,1.65375716014,6.18450228445,2994,0.0838478758812,96,50.372513208,17,58.7949585862,0.996677740864,1.02817833047,0.177299203775,-0.0956763933123
R3C4,CED08,0.75,1.5,30,95.0,0.1,0.001,603,7616,0.496878081199,0.998045440374,1.64957831347,5.81329130111,2933,0.05882797043,103,31.0778214631,16,60.0199283632,1.00166112957,1.00754067998,0.0553600256145,-0.0299108567052
R3C4,CED09,1.5,1.5,15,80.0,0.1,0.001,601,7652,0.51954601325,0.997870173715,1.71056083052,5.80915464213,2933,0.0697857844741,126,41.1587237433,17,60.739947151,0.998338870432,1.01230321471,0.103506301843,-0.0291779861546
R3C4,CED10,1.5,1.5,15,95.0,0.1,0.001,604,7583,0.487890087036,0.998166170143,1.67262534953,5.7441681344,2907,0.0460082575076,128,43.4085496753,17,60.9060056077,1.00332225914,1.00317502315,0.0362696891525,-0.0176646615359
