ConfigID,sigma,rho,num_iter,C,dt,alpha,MeanCoherenceGain,MeanRoughnessReduction,WorstCrossingDeviation,WorstReliablePixelDeviation,MeanNormalizedRMSE,Pareto,DiagnosticScore
CED15,1.5,3.0,30,80.0,0.1,0.001,0.297283624121,-0.0418964642412,0.005,0.0443180314856,0.0919296498062,True,0.153457510074
CED23,2.5,5.0,30,80.0,0.1,0.001,0.304227050206,-0.0245362222285,0.015,0.0415398862283,0.0985094977787,True,0.151181330198
CED26,1.5,3.0,30,90.0,0.1,0.001,0.221417029717,-0.0283734365888,0.0132890365449,0.0233995584989,0.0844481226837,True,0.0820173973544
CED21,2.5,5.0,15,80.0,0.1,0.001,0.198332259816,-0.027884308348,0.02,0.0341314988755,0.0709340782887,True,0.0595138731789
CED13,1.5,3.0,15,80.0,0.1,0.001,0.190315931211,-0.0614367031553,0.00830564784053,0.0313533536182,0.0659019983624,True,0.0463659340126
CED24,2.5,5.0,30,95.0,0.1,0.001,0.136909626103,-0.00397590022585,0.015,0.0203090507726,0.072806642691,True,0.0301270831863
CED16,1.5,3.0,30,95.0,0.1,0.001,0.142621400828,-0.0278258215796,0.01,0.0203090507726,0.0714363318274,True,0.0233592474208
CED19,2.5,2.5,30,80.0,0.1,0.001,0.226762945944,-0.10290006144,0.01,0.0320148167747,0.0994931421645,False,0.00436974233961
CED07,0.75,1.5,30,80.0,0.1,0.001,0.1892978049,-0.0899165575589,0.01,0.028178330467,0.0769701524132,False,0.00241109492771
CED22,2.5,5.0,15,95.0,0.1,0.001,0.0925829338536,-0.0103617320778,0.015,0.0176600441501,0.0502917205177,True,0.00192948125811
CED09,1.5,1.5,15,80.0,0.1,0.001,0.0950924027761,-0.0328544009256,0.005,0.0123032147109,0.0630851847619,True,-0.0108471829115
CED18,2.5,2.5,15,95.0,0.1,0.001,0.0713582756227,-0.0278714272333,0.005,0.00706401766004,0.0528478550579,True,-0.0193610066685
CED10,1.5,1.5,15,95.0,0.1,0.001,0.0533701255393,-0.0205836823426,0.005,0.00794701986755,0.0488069276026,True,-0.0260204844059
CED17,2.5,2.5,15,80.0,0.1,0.001,0.15296058028,-0.0925713349562,0.00830564784053,0.0238126736341,0.0721405183612,True,-0.0283625687181
CED05,0.75,1.5,15,80.0,0.1,0.001,0.110523749846,-0.0668236087035,0.01,0.0195793094325,0.0546171810945,True,-0.0309170399519
CED11,1.5,1.5,30,80.0,0.1,0.001,0.148820799884,-0.0841368486256,0.005,0.0198438946951,0.0879293506353,True,-0.0332453993769
CED25,1.5,1.5,20,99.0,0.1,0.001,0.0146805058121,-0.019508342946,0.00332225913621,0.00158751157561,0.0266375738431,True,-0.0381099292495
CED20,2.5,2.5,30,95.0,0.1,0.001,0.118653833623,-0.0617646684901,0.00996677740864,0.00965736208493,0.0755228476275,False,-0.0385672373121
CED02,0.75,0.75,15,95.0,0.1,0.001,0.0151131842457,-0.00497740031412,0.00664451827243,0.00220750551876,0.0363801008252,True,-0.0395333534385
CED08,0.75,1.5,30,95.0,0.1,0.001,0.1059672924,-0.0634127114376,0.01,0.00927152317881,0.0629582114203,True,-0.0404036304578
CED01,0.75,0.75,15,80.0,0.1,0.001,0.0324445835314,-0.0198155004915,0.005,0.00357190104511,0.0445170827181,True,-0.0418879996782
CED12,1.5,1.5,30,95.0,0.1,0.001,0.0845621245881,-0.0539512413288,0.00166112956811,0.0105960264901,0.0701255195317,True,-0.0428368954086
CED06,0.75,1.5,15,95.0,0.1,0.001,0.0552300204542,-0.0386796928258,0.01,0.00485651214128,0.0431792383258,True,-0.0466289106974
CED03,0.75,0.75,30,80.0,0.1,0.001,0.0594341670467,-0.0352496148378,0.00498338870432,0.00582087577722,0.0641526639026,True,-0.0499348891023
CED04,0.75,0.75,30,95.0,0.1,0.001,0.034492740094,-0.0175251451679,0.01,0.00353200883002,0.0538751106677,True,-0.0569075157415
CED14,1.5,3.0,15,95.0,0.1,0.001,0.0860688104887,-0.0714166890239,0.015,0.0154525386313,0.0493654065158,True,-0.064713285051
