Colony,Condition,Ring,RadiusPx,Crossings,ConsensusTiltDeg,RingResultant,ConsensusChangeDeg
R3C4,Original,0,45.8844915427,31,41.1893565903,0.203657217268,0.0
R3C4,Original,1,53.8844915427,39,21.3300461831,0.581691738085,-19.8593104073
R3C4,Original,2,61.8844915427,42,12.6688388006,0.659188084652,-28.5205177898
R3C4,Original,3,69.8844915427,36,21.4885307334,0.618063471272,-19.7008258569
R3C4,Original,4,77.8844915427,38,26.5015374673,0.395029705181,-14.687819123
R3C4,Original,5,85.8844915427,36,21.4326212629,0.429415141145,-19.7567353274
R3C4,Original,6,93.8844915427,38,17.8043385655,0.380551520295,-23.3850180249
R3C4,Original,7,101.884491543,46,61.2301141627,0.220938749807,20.0407575723
R3C4,Original,8,109.884491543,44,68.3781989456,0.357100242587,27.1888423553
R3C4,Original,9,117.884491543,46,82.1125198899,0.218704201504,40.9231632996
R3C4,Original,10,125.884491543,41,,0.125007773181,
R3C4,Original,11,133.884491543,41,,0.0795500905106,
R3C4,Original,12,141.884491543,21,10.1118179018,0.531990009054,0.0
R3C4,Original,13,149.884491543,25,47.3297098777,0.212920432771,37.2178919759
R3C4,Original,14,157.884491543,19,48.8703615185,0.472445503422,38.7585436167
R3C4,Original,15,165.884491543,22,57.8238620224,0.399869129678,47.7120441206
R3C4,Original,16,173.884491543,17,69.8634211183,0.233811884385,59.7516032166
R3C4,Original,17,181.884491543,13,,0.146692866144,
R3C4,Original,18,189.884491543,4,77.547133073,0.416746959358,0.0
R3C4,Original,19,197.884491543,2,,,
R3C4,Original,20,205.884491543,1,,,
R3C4,CED,0,45.8844915427,30,47.789883321,0.150365294117,0.0
R3C4,CED,1,53.8844915427,40,23.1701839656,0.593811262979,-24.6196993555
R3C4,CED,2,61.8844915427,44,13.888392015,0.678851152684,-33.9014913061
R3C4,CED,3,69.8844915427,35,22.2745028814,0.62379913909,-25.5153804396
R3C4,CED,4,77.8844915427,39,25.9630654912,0.397170450732,-21.8268178298
R3C4,CED,5,85.8844915427,37,19.0681878628,0.414697136532,-28.7216954583
R3C4,CED,6,93.8844915427,38,16.1646952169,0.376413489197,-31.6251881041
R3C4,CED,7,101.884491543,46,59.9071741921,0.217178308606,12.1172908711
R3C4,CED,8,109.884491543,44,66.0965822052,0.370219869335,18.3066988841
R3C4,CED,9,117.884491543,48,-86.4938508908,0.184750755472,45.7162657882
R3C4,CED,10,125.884491543,42,,0.133043810605,
R3C4,CED,11,133.884491543,42,,0.0943015175652,
R3C4,CED,12,141.884491543,21,10.4592916455,0.534830131828,0.0
R3C4,CED,13,149.884491543,25,43.6869421188,0.226039103133,33.2276504733
R3C4,CED,14,157.884491543,21,48.5866690898,0.428691738437,38.1273774442
R3C4,CED,15,165.884491543,22,59.2346119519,0.413039385416,48.7753203064
R3C4,CED,16,173.884491543,17,71.5080113694,0.226537533943,61.0487197239
R3C4,CED,17,181.884491543,13,44.4487499083,0.155990760594,33.9894582627
R3C4,CED,18,189.884491543,3,71.1108287982,0.590046655379,60.6515371527
R3C4,CED,19,197.884491543,2,,,
R3C4,CED,20,205.884491543,1,,,
R4C6,Original,0,41.746715295,28,-45.2731619748,0.238883528087,0.0
R4C6,Original,1,49.746715295,22,-40.4148935352,0.25639488454,4.85826843956
R4C6,Original,2,57.746715295,17,-7.70347737112,0.773763388328,37.5696846037
R4C6,Original,3,65.746715295,18,-6.44895563246,0.572295704379,38.8242063423
R4C6,Original,4,73.746715295,18,2.71009192016,0.333538934872,47.983253895
R4C6,Original,5,81.746715295,21,19.9939847199,0.482999823829,65.2671466947
R4C6,Original,6,89.746715295,17,20.2092936872,0.553771325455,65.482455662
R4C6,Original,7,97.746715295,13,23.3671453301,0.521182266942,68.6403073049
R4C6,Original,8,105.746715295,17,31.038900133,0.698160588996,76.3120621078
R4C6,Original,9,113.746715295,10,37.4120232043,0.674864138391,82.6851851791
R4C6,Original,10,121.746715295,8,32.5420069867,0.776468209103,77.8151689615
R4C6,Original,11,129.746715295,9,34.9054617027,0.774561239608,80.1786236775
R4C6,Original,12,137.746715295,2,,,
R4C6,Original,13,145.746715295,0,,,
R4C6,CED,0,41.746715295,27,-43.0461337617,0.158953910165,0.0
R4C6,CED,1,49.746715295,23,-41.8626208907,0.168742569706,1.18351287104
R4C6,CED,2,57.746715295,17,-7.35936897479,0.771502586059,35.6867647869
R4C6,CED,3,65.746715295,18,-5.41844346831,0.596727787794,37.6276902934
R4C6,CED,4,73.746715295,20,-5.07277415261,0.402118286604,37.9733596091
R4C6,CED,5,81.746715295,21,19.7425407641,0.508398619341,62.7886745259
R4C6,CED,6,89.746715295,17,20.1175674038,0.551258472117,63.1637011655
R4C6,CED,7,97.746715295,13,22.5483629927,0.508151680289,65.5944967544
R4C6,CED,8,105.746715295,18,27.261875377,0.688792623542,70.3080091387
R4C6,CED,9,113.746715295,10,37.3227766342,0.673064337234,80.368910396
R4C6,CED,10,121.746715295,8,32.9541551566,0.756247456511,76.0002889183
R4C6,CED,11,129.746715295,8,35.8659038733,0.872570508947,78.912037635
R4C6,CED,12,137.746715295,2,,,
R4C6,CED,13,145.746715295,0,,,
