Colony,Policy,PointID,Ring,Status,ParentID,DistancePx,AxialDeltaDeg,PredictionResidualDeg,SignedStepDeg,UnwrappedFiberAxisDeg,CumulativeSignedDeg,CumulativeAbsoluteDeg,NormalizedCost
R3C4,reciprocal_one_to_one,0,0,seed,,,,,0.0,-35.3204126934,0.0,0.0,
R3C4,reciprocal_one_to_one,1,0,seed,,,,,0.0,81.9496567324,0.0,0.0,
R3C4,reciprocal_one_to_one,2,0,seed,,,,,0.0,-20.1704174118,0.0,0.0,
R3C4,reciprocal_one_to_one,3,0,seed,,,,,0.0,-17.5040737731,0.0,0.0,
R3C4,reciprocal_one_to_one,4,0,seed,,,,,0.0,39.5929034831,0.0,0.0,
R3C4,reciprocal_one_to_one,5,0,seed,,,,,0.0,-16.5099558393,0.0,0.0,
R3C4,reciprocal_one_to_one,6,0,seed,,,,,0.0,-18.3691911415,0.0,0.0,
R3C4,reciprocal_one_to_one,7,0,seed,,,,,0.0,-52.5251367382,0.0,0.0,
R3C4,reciprocal_one_to_one,8,0,seed,,,,,0.0,-55.945212132,0.0,0.0,
R3C4,reciprocal_one_to_one,9,0,seed,,,,,0.0,44.4559489475,0.0,0.0,
R3C4,reciprocal_one_to_one,10,0,seed,,,,,0.0,-66.8557682855,0.0,0.0,
R3C4,reciprocal_one_to_one,11,0,seed,,,,,0.0,13.3824633838,0.0,0.0,
R3C4,reciprocal_one_to_one,12,0,seed,,,,,0.0,77.4926676152,0.0,0.0,
R3C4,reciprocal_one_to_one,13,0,seed,,,,,0.0,-1.0986837173,0.0,0.0,
R3C4,reciprocal_one_to_one,14,0,seed,,,,,0.0,-51.5878237106,0.0,0.0,
R3C4,reciprocal_one_to_one,15,0,seed,,,,,0.0,-55.0631362992,0.0,0.0,
R3C4,reciprocal_one_to_one,16,0,seed,,,,,0.0,13.1682739909,0.0,0.0,
R3C4,reciprocal_one_to_one,17,0,seed,,,,,0.0,40.4109997263,0.0,0.0,
R3C4,reciprocal_one_to_one,18,0,seed,,,,,0.0,34.7923049161,0.0,0.0,
R3C4,reciprocal_one_to_one,19,0,seed,,,,,0.0,-28.432110545,0.0,0.0,
R3C4,reciprocal_one_to_one,20,0,seed,,,,,0.0,-18.7519878986,0.0,0.0,
R3C4,reciprocal_one_to_one,21,0,seed,,,,,0.0,-16.3200444245,0.0,0.0,
R3C4,reciprocal_one_to_one,22,0,seed,,,,,0.0,-62.8002494392,0.0,0.0,
R3C4,reciprocal_one_to_one,23,0,seed,,,,,0.0,63.1015225154,0.0,0.0,
R3C4,reciprocal_one_to_one,24,0,seed,,,,,0.0,-88.7299659775,0.0,0.0,
R3C4,reciprocal_one_to_one,25,0,seed,,,,,0.0,-13.5941800409,0.0,0.0,
R3C4,reciprocal_one_to_one,26,0,seed,,,,,0.0,-54.5255480137,0.0,0.0,
R3C4,reciprocal_one_to_one,27,0,seed,,,,,0.0,-58.10439223,0.0,0.0,
R3C4,reciprocal_one_to_one,28,0,seed,,,,,0.0,-66.328484353,0.0,0.0,
R3C4,reciprocal_one_to_one,29,0,seed,,,,,0.0,-88.2225151857,0.0,0.0,
R3C4,reciprocal_one_to_one,30,0,seed,,,,,0.0,-88.6932011561,0.0,0.0,
R3C4,reciprocal_one_to_one,31,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,32,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,33,1,matched,2.0,6.58873009115,-16.7548896121,-16.7548896121,-16.7548896121,-36.9253070239,-16.7548896121,16.7548896121,0.747253470972
R3C4,reciprocal_one_to_one,34,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,35,1,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,36,1,matched,5.0,9.93737492236,-1.32432743379,-1.32432743379,-1.32432743379,-17.8342832731,-1.32432743379,1.32432743379,0.107745402151
R3C4,reciprocal_one_to_one,37,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,38,1,matched,7.0,6.90071198238,7.97172603447,7.97172603447,7.97172603447,-44.5534107038,7.97172603447,7.97172603447,0.208713594156
R3C4,reciprocal_one_to_one,39,1,matched,9.0,8.81317321388,1.54863700191,1.54863700191,1.54863700191,46.0045859494,1.54863700191,1.54863700191,0.0872931742045
R3C4,reciprocal_one_to_one,40,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,41,1,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,42,1,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,43,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,44,1,matched,11.0,9.7788403905,-8.6498393795,-8.6498393795,-8.6498393795,4.7326240043,-8.6498393795,8.6498393795,0.287138499651
R3C4,reciprocal_one_to_one,45,1,matched,13.0,7.97125062316,1.45868962059,1.45868962059,1.45868962059,0.360005903295,1.45868962059,1.45868962059,0.0718261409678
R3C4,reciprocal_one_to_one,46,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,47,1,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,48,1,inner_ambiguity,,,,,,,,,
R3C4,reciprocal_one_to_one,49,1,claimed_by_other,,,,,,,,,
R3C4,reciprocal_one_to_one,50,1,inner_ambiguity,,,,,,,,,
