Colony,Ring,RadiusPx,MeanTiltDeg,MedianTiltDeg,RingResultant,SectorSupport,MeanCumulativeDeg,MedianCumulativeDeg
R3C4,0.0,45.8844915427,46.0294087596,40.3473781561,0.223819457224,1.0,0.0,0.0
R3C4,1.0,53.8844915427,20.9704581686,17.052535609,0.641306298897,0.972222222222,9.5452957552,7.82232429071
R3C4,2.0,61.8844915427,11.8394658385,5.85256490842,0.651218997655,0.888888888889,12.585136719,10.255113345
R3C4,3.0,69.8844915427,24.4448033079,27.8120056191,0.628068199174,0.833333333333,14.0453524341,10.9691189718
R3C4,4.0,77.8844915427,23.8618973864,24.9181793848,0.388993759014,0.916666666667,16.8681424063,14.2448876579
R3C4,5.0,85.8844915427,24.714618866,26.4381168664,0.281395528333,0.888888888889,19.3462293804,16.8474921119
R3C4,6.0,93.8844915427,38.9379641755,33.4631162183,0.222829282764,0.888888888889,21.694866499,19.3848131341
R3C4,7.0,101.884491543,61.2190132213,61.4746598273,0.23101930528,0.916666666667,25.480583796,22.4816330643
R3C4,8.0,109.884491543,73.194799622,71.7134142046,0.400948205288,0.944444444444,33.3648181221,30.4499146751
R3C4,9.0,117.884491543,89.2406901297,87.4417748148,0.281932994697,0.805555555556,46.6968258512,42.6344666361
R3C4,10.0,125.884491543,-78.03513791,89.4679106622,0.173444305289,0.722222222222,,
R3C4,11.0,133.884491543,19.3837293628,15.2655876398,0.275194556443,0.638888888889,,
R3C4,12.0,141.884491543,13.2741783754,14.1041577009,0.396439951964,0.5,,
R3C4,13.0,149.884491543,30.989995295,31.2716175296,0.220789370105,0.527777777778,,
R3C4,14.0,157.884491543,51.5806497578,51.9856470386,0.347106088132,0.444444444444,,
R4C6,0.0,41.746715295,-51.1000524047,-51.311926423,0.208124271515,0.888888888889,0.0,0.0
R4C6,1.0,49.746715295,-26.6147260033,-21.6339984796,0.313580487815,0.75,-12.449307531,-12.5439416869
R4C6,2.0,57.746715295,-9.55132235706,-9.51133689802,0.696822504349,0.611111111111,-16.7306026122,-15.9326416338
R4C6,3.0,65.746715295,-0.785931684002,-1.03216024749,0.504758858974,0.638888888889,-17.9814303206,-17.1781352432
R4C6,4.0,73.746715295,6.294804074,3.73799188384,0.549109094071,0.583333333333,-18.0716819572,-17.2966676657
R4C6,5.0,81.746715295,14.4519599043,8.17537809278,0.453484232728,0.638888888889,-17.4207642494,-16.9111478551
