DetectorLabel,GridSection,ZonesComputed,CoreEndRadius,OuterRadius,Sigma8_ValidPixels,Sigma8_Median,Sigma8_P90,Sigma8_P95,Sigma8_RawPeak,Sigma8_FractionAbove3,Sigma16_ValidPixels,Sigma16_Median,Sigma16_P90,Sigma16_P95,Sigma16_RawPeak,Sigma16_FractionAbove3,P95PersistenceRatio16to8
1,0,True,30.3650720109,125.833434333,18713,0.682182870529,2.51926585704,3.68372247925,15.7500148784,0.0719820445679,18462,0.399991443522,1.25498279613,1.78726747063,4.89005060946,0.00958726031849,0.485179728034
2,1,True,32.4949302427,128.165637061,21326,0.839800229741,2.58359277136,3.93588436648,15.2479285347,0.0785895151458,20831,0.461297980231,1.23443192285,1.87236227726,6.68017503161,0.0149776774999,0.475715773869
3,2,True,32.0587750694,127.720659196,28355,0.797760977601,2.52330289791,3.43800682636,14.945672342,0.0689120084641,27857,0.560827717221,1.2351294211,1.4589016661,6.60832316797,0.00606669777794,0.424345191788
4,3,True,54.0507884469,123.702495252,16024,0.611602053153,1.98153962928,2.841088054,17.9772507168,0.0458062905642,16033,0.390959852897,0.987909282156,1.2456509276,4.13507525532,0.00130979854051,0.438441506888
5,4,True,0.0,146.12246889,0,,,,,,0,,,,,,
6,5,True,42.1461930182,147.677436684,15384,0.670321045846,2.06330166141,2.76779001664,17.1896519794,0.0417966718669,15268,0.439699535108,1.19449918603,1.41645387882,6.4936311916,0.0104139376474,0.511763490113
7,6,True,38.6439624646,152.882501986,12801,0.575642389366,1.86840901711,2.70537128262,12.4729950658,0.0384344973049,12655,0.320596743397,1.01007907179,1.4308440547,6.0690016231,0.0114579217701,0.528890087615
8,7,True,0.0,182.005309733,0,,,,,,0,,,,,,
9,8,True,31.3073406384,176.856362516,34904,0.864599026082,2.72878292054,3.70567845281,16.8559233257,0.0809076323631,34382,0.448080654685,1.39688315432,1.7894650493,7.8726832333,0.00753301145948,0.482898090616
10,9,True,35.3441483035,77.6586492899,3287,0.828462996166,2.99183023882,3.99005815334,12.2958818681,0.0994828110739,3206,0.622909662707,1.64494066287,2.17770186338,4.04046784946,0.00966936993138,0.545781986048
11,10,True,44.6796128023,143.174777497,18159,0.72571040703,2.23711151423,3.16725772345,12.4451113185,0.055950217523,18032,0.439034183113,1.07444270509,1.29876510634,4.26748321162,0.00371561668146,0.410059811906
12,11,True,44.508208941,125.075130566,17566,0.575798646276,1.82484340423,2.46111847003,16.9218658661,0.0330183308664,17358,0.374927837971,0.954364015999,1.29713297465,4.27610746863,0.00506970849176,0.527050197072
13,12,True,0.0,148.509884132,0,,,,,,0,,,,,,
14,13,True,35.8575156907,150.332346581,16258,0.95202363149,2.89046214187,3.83333866809,15.6079208391,0.0898019436585,15424,0.519483463133,1.43304754772,1.96647441716,4.99630614435,0.0133558091286,0.512992612297
15,14,False,0.0,0.0,0,,,,,,0,,,,,,
16,15,True,43.8259754848,158.816348096,16195,0.602946340528,2.31128340254,3.22916747502,16.9061921109,0.0585983328188,15397,0.337725096014,1.0572701193,1.46149176041,5.29054301603,0.00623498084042,0.452590883475
17,16,True,28.1890231778,128.591809482,12951,0.785860706827,2.44931010772,3.32804048911,16.2685552235,0.0616168635627,12787,0.422687683335,1.41677998989,1.84389429301,5.77771906884,0.0143114100258,0.554048034885
18,17,True,40.0116872471,115.680437545,10527,0.494879743786,1.94262281945,2.70663187732,18.6417254733,0.0398024128432,10390,0.280546607525,0.813213460227,1.05938948062,4.16610314479,0.00134744947064,0.391405085229
