Colony,Ring,RadiusPx,MaskMedianTiltDeg,SkeletonMedianTiltDeg,MaskCumulativeChangeDeg,SkeletonCumulativeChangeDeg,MaskSectorSupport,SkeletonSectorSupport,MaskRingResultant,SkeletonRingResultant
R3C4,0,45.8844915427,40.3473781561,49.7929203166,0.0,0.0,1.0,1.0,0.223819457224,0.250138802233
R3C4,1,53.8844915427,17.052535609,17.1318414932,-23.294842547,-32.6610788235,0.972222222222,0.944444444444,0.641306298897,0.597535716847
R3C4,2,61.8844915427,5.85256490842,5.92207941516,-34.4948132476,-43.8708409015,0.888888888889,0.861111111111,0.651218997655,0.651758922936
R3C4,3,69.8844915427,27.8120056191,27.7977599341,-12.5353725369,-21.9951603826,0.833333333333,0.777777777778,0.628068199174,0.662988886763
R3C4,4,77.8844915427,24.9181793848,18.7075646832,-15.4291987713,-31.0853556335,0.916666666667,0.833333333333,0.388993759014,0.427731466829
R3C4,5,85.8844915427,26.4381168664,30.5427669827,-13.9092612897,-19.2501533339,0.888888888889,0.861111111111,0.281395528333,0.305062553798
R3C4,6,93.8844915427,33.4631162183,27.7960553614,-6.88426193773,-21.9968649552,0.888888888889,0.75,0.222829282764,0.255483927481
R3C4,7,101.884491543,61.4746598273,57.787922016,21.1272816712,7.99500169942,0.916666666667,0.888888888889,0.23101930528,0.26498040258
R3C4,8,109.884491543,71.7134142046,71.6413811033,31.3660360485,21.8484607867,0.944444444444,0.944444444444,0.400948205288,0.410757869248
R3C4,9,117.884491543,87.4417748148,85.4847837449,47.0943966588,35.6918634283,0.805555555556,0.777777777778,0.281932994697,0.272746938316
R3C4,10,125.884491543,89.4679106622,88.6898423538,49.1205325061,38.8969220372,0.722222222222,0.666666666667,0.173444305289,0.160125662152
R3C4,11,133.884491543,15.2655876398,10.9750387394,-25.0817905163,-38.8178815773,0.638888888889,0.583333333333,0.275194556443,0.2616016672
R3C4,12,141.884491543,14.1041577009,10.0691174064,-26.2432204552,-39.7238029103,0.5,0.5,0.396439951964,0.451403335299
R3C4,13,149.884491543,31.2716175296,38.2080305773,-9.07576062648,-11.5848897393,0.527777777778,0.5,0.220789370105,0.222828938834
R3C4,14,157.884491543,51.9856470386,31.0122642847,11.6382688826,-18.7806560319,0.444444444444,0.333333333333,0.347106088132,0.397401287465
R3C4,15,165.884491543,62.3981967224,63.0883737135,22.0508185664,13.2954533968,0.388888888889,0.333333333333,0.430382307607,0.470290853612
R3C4,16,173.884491543,-79.1500711976,66.9509719995,60.5025506463,17.1580516829,0.361111111111,0.333333333333,0.217927423384,0.157710532055
R3C4,17,181.884491543,,77.500999184,,27.7080788674,0.305555555556,0.25,0.142560489726,0.324355639098
R3C4,18,189.884491543,,50.1068086565,,0.313888339916,0.166666666667,0.111111111111,0.127376898447,0.504158640587
R3C4,19,197.884491543,,,,,0.0555555555556,0.0555555555556,,
R3C4,20,205.884491543,,,,,0.0277777777778,0.0277777777778,,
R4C6,0,41.746715295,-51.311926423,-32.0297454037,0.0,0.0,0.888888888889,0.861111111111,0.208124271515,0.227175428028
R4C6,1,49.746715295,-21.6339984796,-24.8388155222,29.6779279434,7.19092988142,0.75,0.638888888889,0.313580487815,0.407163915928
R4C6,2,57.746715295,-9.51133689802,-8.09222421368,41.800589525,23.93752119,0.611111111111,0.583333333333,0.696822504349,0.674377627984
R4C6,3,65.746715295,-1.03216024749,-0.324366110714,50.2797661755,31.7053792929,0.638888888889,0.611111111111,0.504758858974,0.490637317514
R4C6,4,73.746715295,3.73799188384,8.95357372551,55.0499183068,40.9833191292,0.583333333333,0.555555555556,0.549109094071,0.542561107785
R4C6,5,81.746715295,8.17537809278,8.30307830192,59.4873045158,40.3328237056,0.638888888889,0.611111111111,0.453484232728,0.435255125902
R4C6,6,89.746715295,29.0382071937,29.6750739258,80.3501336167,61.7048193295,0.638888888889,0.527777777778,0.498253370991,0.520521831204
R4C6,7,97.746715295,26.5156401827,27.5171166468,77.8275666057,59.5468620505,0.472222222222,0.416666666667,0.534046440553,0.566185010901
R4C6,8,105.746715295,29.5025182402,40.9734299771,80.8144446632,73.0031753807,0.416666666667,0.361111111111,0.581187839258,0.68589163397
R4C6,9,113.746715295,38.4041417556,30.5829455272,89.7160681785,62.6126909308,0.361111111111,0.277777777778,0.726437326454,0.706424854542
R4C6,10,121.746715295,41.4837583259,39.5941541261,92.7956847489,71.6238995298,0.194444444444,0.194444444444,0.787825819604,0.803155770634
R4C6,11,129.746715295,34.4315842429,34.8386561637,85.7435106659,66.8684015673,0.111111111111,0.111111111111,0.840728310639,0.832466546541
R4C6,12,137.746715295,34.3810143552,35.8196117739,85.6929407781,67.8493571776,0.0833333333333,0.0833333333333,0.937117642061,0.948246736554
R4C6,13,145.746715295,,,,,0.0277777777778,0.0,,
