patch,deg_effect_dE,bias_norm_Lab,scatter_norm_Lab,bias_dL,bias_da,bias_db,matched_med,mixed_med,chroma_ref,inflation
dark skin,2.902,4.179,0.62,1.675,-3.299,-1.943,0.761,2.903,19.782,3.817
light skin,2.915,5.271,0.576,2.089,-4.261,-2.293,0.371,2.905,24.812,7.833
blue sky,2.823,2.866,0.691,2.707,0.856,-0.392,0.565,2.86,22.197,5.066
foliage,3.848,5.68,0.848,2.875,1.635,4.619,1.075,3.929,27.151,3.654
blue flower,1.943,2.517,0.462,1.776,1.421,-1.078,0.507,1.814,27.408,3.576
bluish green,2.122,3.075,0.519,2.018,1.151,-2.014,0.192,2.126,31.938,11.099
orange,3.995,4.606,0.663,4.599,0.055,0.263,0.439,3.971,64.986,9.052
purplish blue,4.957,7.814,1.331,5.205,-2.34,5.337,0.834,4.851,47.253,5.818
moderate red,2.219,3.983,0.472,-0.794,-0.661,-3.847,0.372,2.223,50.563,5.98
purple,3.048,4.409,1.196,3.627,-0.67,2.415,0.693,3.05,32.107,4.404
yellow green,2.217,3.238,0.453,2.558,1.966,0.276,0.281,2.19,65.35,7.785
orange yellow,1.395,1.803,1.609,1.66,0.416,0.568,0.63,1.398,68.846,2.22
blue,4.405,8.205,1.34,-5.057,2.124,-6.102,0.624,4.334,53.341,6.948
green,1.322,1.757,0.476,-1.257,0.905,0.83,0.197,1.377,53.87,6.999
red,6.45,8.945,1.158,-5.895,6.326,-2.289,0.432,6.435,57.282,14.889
yellow,1.541,2.36,0.694,-2.16,-0.893,0.322,0.211,1.527,80.937,7.25
magenta,1.205,2.573,0.434,0.208,0.575,2.499,0.075,1.241,54.538,16.486
cyan,3.662,4.672,0.712,-3.06,-3.519,0.281,0.21,3.593,37.166,17.15
white 9.5 (.05 D),0.574,0.8,0.101,-0.67,0.081,0.43,0.417,0.705,3.196,1.692
neutral 8 (.23 D),0.634,0.668,0.114,-0.554,0.361,0.094,0.547,0.693,0.754,1.266
neutral 6.5 (.44 D),0.571,0.579,0.133,-0.506,0.268,0.084,0.72,0.828,0.743,1.149
neutral 5 (.70 D),0.543,0.48,0.15,-0.427,0.216,0.041,1.004,0.975,0.2,0.971
neutral 3.5 (1.05 D),0.404,0.361,0.192,-0.303,0.194,0.033,1.147,0.953,0.624,0.831
black 2 (1.5 D),0.298,0.255,0.231,-0.227,0.109,0.046,1.728,1.562,0.47,0.904
