degree,scope,n_patches,median_dE00,q25,q75,iqr_dE00,mean_dE00,sd_dE00,n_permutations,frac_underdetermined,median_rank,median_cond,n_terms
2,cross-frame,24,3.55904191207,3.55904191207,3.55904191207,0.0,3.55904191207,0.0,30,0.0,6.0,54.1191223366,6
2,cross-frame,23,3.57359371774,3.56609809684,3.58845289187,0.0223547950363,3.58353792642,0.0285462462133,30,0.0,6.0,54.1852340677,6
2,cross-frame,22,3.58673485679,3.57502216092,3.61622030315,0.0411981422321,3.60278028618,0.0636366176239,30,0.0,6.0,54.6174832199,6
2,cross-frame,21,3.611101766,3.57960787744,3.63299086129,0.0533829838583,3.6158126162,0.0882693542695,30,0.0,6.0,54.2613284346,6
2,cross-frame,20,3.62549940203,3.56137817411,3.70652122291,0.145143048799,3.65101597653,0.15477017285,30,0.0,6.0,58.9949376301,6
2,cross-frame,19,3.63536783061,3.58069210251,3.74449993558,0.163807833073,3.68416256189,0.190034996334,30,0.0,6.0,61.0472745594,6
2,cross-frame,18,3.67323358844,3.55730438706,3.87771549482,0.32041110776,3.74896000882,0.2613340017,30,0.0,6.0,61.8903596764,6
2,cross-frame,17,3.68253595761,3.59295449502,3.87269669694,0.279742201921,3.78375001521,0.285819268436,30,0.0,6.0,63.9904692009,6
2,cross-frame,16,3.77773573228,3.63248427012,3.98046965569,0.347985385575,3.88237746323,0.36443168556,30,0.0,6.0,65.1054407537,6
2,cross-frame,15,3.85953562821,3.70061900277,3.98078478021,0.280165777441,3.96772041264,0.429324471941,30,0.0,6.0,68.2913615071,6
2,cross-frame,14,3.85101425013,3.70823779649,4.31048317425,0.602245377757,4.10879762945,0.606421114884,30,0.0,6.0,71.6582710434,6
2,cross-frame,13,3.96229876253,3.82879118769,4.56169237248,0.73290118479,4.30291114964,0.75112636045,30,0.0,6.0,77.0672831586,6
2,cross-frame,12,4.15667431322,3.88538098824,4.59970242765,0.714321439406,4.39430866745,0.741783430803,30,0.0,6.0,80.1804108772,6
2,cross-frame,11,4.48400280023,4.0642434243,5.12225568926,1.05801226496,4.65568828137,0.862508504368,30,0.0,6.0,108.492120761,6
2,cross-frame,10,4.94819698069,4.32861537161,5.58274784454,1.25413247292,5.07646533833,0.95325071715,30,0.0,6.0,124.778526996,6
2,cross-frame,9,4.92531689734,4.5123291313,5.99803415824,1.48570502694,5.41156417009,1.38254069275,30,0.0,6.0,133.570418029,6
2,cross-frame,8,5.24834906364,4.67712303162,7.29604023753,2.61891720591,6.53893009818,3.32567159168,30,0.0,6.0,177.636685352,6
2,cross-frame,7,8.24659052473,4.93121490569,14.9212770037,9.990062098,10.1890950553,5.99976293877,30,0.0,6.0,407.103090362,6
2,cross-frame,6,13.6901060484,6.47832678379,21.6568661266,15.1785393429,15.1403373364,9.08614641675,30,0.0,6.0,1235.18219895,6
2,same-image,24,2.7941334206,2.7941334206,2.7941334206,0.0,2.7941334206,0.0,30,0.0,6.0,54.1191223366,6
2,same-image,23,2.8069351553,2.80444642386,2.82915310645,0.0247066825912,2.82096382139,0.0330578231029,30,0.0,6.0,54.1852340677,6
