permutation,order_01,order_02,order_03,order_04,order_05,order_06,order_07,order_08,order_09,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24
0,blue,blue sky,neutral 8 (.23 D),green,yellow,dark skin,magenta,purplish blue,neutral 3.5 (1.05 D),yellow green,light skin,cyan,bluish green,purple,red,neutral 6.5 (.44 D),moderate red,white 9.5 (.05 D),neutral 5 (.70 D),blue flower,orange,foliage,black 2 (1.5 D),orange yellow
1,white 9.5 (.05 D),neutral 8 (.23 D),bluish green,light skin,purplish blue,blue sky,green,purple,yellow green,red,neutral 5 (.70 D),moderate red,orange yellow,blue flower,neutral 6.5 (.44 D),cyan,black 2 (1.5 D),orange,yellow,dark skin,magenta,foliage,blue,neutral 3.5 (1.05 D)
2,magenta,yellow green,dark skin,neutral 8 (.23 D),orange yellow,blue sky,light skin,orange,purplish blue,white 9.5 (.05 D),neutral 5 (.70 D),blue,black 2 (1.5 D),foliage,cyan,neutral 3.5 (1.05 D),yellow,moderate red,blue flower,red,green,bluish green,neutral 6.5 (.44 D),purple
3,light skin,yellow,green,blue flower,neutral 5 (.70 D),neutral 3.5 (1.05 D),white 9.5 (.05 D),red,orange yellow,bluish green,dark skin,foliage,blue sky,neutral 6.5 (.44 D),magenta,black 2 (1.5 D),cyan,moderate red,blue,yellow green,orange,neutral 8 (.23 D),purple,purplish blue
4,yellow green,magenta,orange yellow,neutral 5 (.70 D),purple,cyan,blue flower,purplish blue,blue,bluish green,red,orange,white 9.5 (.05 D),light skin,moderate red,dark skin,neutral 8 (.23 D),neutral 6.5 (.44 D),yellow,foliage,green,blue sky,neutral 3.5 (1.05 D),black 2 (1.5 D)
5,bluish green,purplish blue,orange,neutral 6.5 (.44 D),light skin,dark skin,neutral 8 (.23 D),cyan,magenta,black 2 (1.5 D),blue flower,blue,red,foliage,yellow,purple,orange yellow,yellow green,neutral 5 (.70 D),green,white 9.5 (.05 D),moderate red,blue sky,neutral 3.5 (1.05 D)
6,blue sky,yellow,red,purple,foliage,green,neutral 6.5 (.44 D),light skin,moderate red,orange yellow,yellow green,bluish green,blue flower,neutral 8 (.23 D),purplish blue,magenta,black 2 (1.5 D),neutral 5 (.70 D),cyan,orange,white 9.5 (.05 D),neutral 3.5 (1.05 D),dark skin,blue
7,orange,orange yellow,bluish green,neutral 6.5 (.44 D),yellow green,neutral 3.5 (1.05 D),yellow,blue flower,blue sky,cyan,purple,blue,light skin,red,neutral 8 (.23 D),green,black 2 (1.5 D),foliage,purplish blue,neutral 5 (.70 D),white 9.5 (.05 D),moderate red,dark skin,magenta
8,blue flower,yellow,neutral 3.5 (1.05 D),purple,yellow green,purplish blue,neutral 8 (.23 D),blue,cyan,neutral 6.5 (.44 D),red,orange,light skin,orange yellow,moderate red,blue sky,black 2 (1.5 D),neutral 5 (.70 D),foliage,bluish green,green,white 9.5 (.05 D),dark skin,magenta
9,magenta,cyan,orange,yellow green,blue,blue flower,light skin,orange yellow,foliage,white 9.5 (.05 D),bluish green,neutral 3.5 (1.05 D),neutral 6.5 (.44 D),yellow,neutral 8 (.23 D),dark skin,blue sky,purple,neutral 5 (.70 D),purplish blue,moderate red,black 2 (1.5 D),red,green
10,neutral 6.5 (.44 D),white 9.5 (.05 D),bluish green,blue flower,yellow,neutral 5 (.70 D),light skin,orange yellow,foliage,purple,magenta,neutral 8 (.23 D),black 2 (1.5 D),green,cyan,blue sky,purplish blue,orange,neutral 3.5 (1.05 D),dark skin,moderate red,red,yellow green,blue
11,blue sky,red,green,neutral 5 (.70 D),blue flower,light skin,yellow green,bluish green,orange yellow,magenta,yellow,moderate red,black 2 (1.5 D),purple,neutral 3.5 (1.05 D),white 9.5 (.05 D),cyan,dark skin,foliage,neutral 8 (.23 D),purplish blue,neutral 6.5 (.44 D),orange,blue
12,moderate red,yellow green,bluish green,white 9.5 (.05 D),purplish blue,cyan,purple,neutral 3.5 (1.05 D),blue sky,neutral 5 (.70 D),green,blue flower,foliage,dark skin,neutral 6.5 (.44 D),light skin,red,blue,orange,neutral 8 (.23 D),yellow,orange yellow,magenta,black 2 (1.5 D)
13,orange,yellow green,bluish green,foliage,purple,dark skin,moderate red,black 2 (1.5 D),orange yellow,white 9.5 (.05 D),blue,purplish blue,neutral 6.5 (.44 D),blue flower,neutral 5 (.70 D),red,yellow,magenta,cyan,green,blue sky,neutral 8 (.23 D),neutral 3.5 (1.05 D),light skin
14,orange,purple,bluish green,orange yellow,white 9.5 (.05 D),neutral 6.5 (.44 D),cyan,dark skin,yellow green,purplish blue,light skin,foliage,black 2 (1.5 D),blue sky,blue flower,neutral 8 (.23 D),moderate red,yellow,blue,magenta,green,neutral 5 (.70 D),neutral 3.5 (1.05 D),red
15,orange yellow,neutral 3.5 (1.05 D),blue,black 2 (1.5 D),purplish blue,neutral 5 (.70 D),white 9.5 (.05 D),cyan,moderate red,yellow,red,neutral 8 (.23 D),purple,blue sky,magenta,foliage,light skin,blue flower,yellow green,dark skin,orange,green,neutral 6.5 (.44 D),bluish green
16,cyan,neutral 8 (.23 D),orange,bluish green,magenta,red,foliage,neutral 3.5 (1.05 D),neutral 6.5 (.44 D),white 9.5 (.05 D),moderate red,black 2 (1.5 D),yellow,green,dark skin,blue sky,blue flower,blue,yellow green,light skin,neutral 5 (.70 D),purplish blue,orange yellow,purple
17,orange yellow,foliage,green,neutral 8 (.23 D),neutral 3.5 (1.05 D),bluish green,yellow,neutral 5 (.70 D),dark skin,magenta,yellow green,cyan,neutral 6.5 (.44 D),blue sky,purplish blue,moderate red,white 9.5 (.05 D),red,purple,blue flower,orange,black 2 (1.5 D),light skin,blue
18,cyan,foliage,bluish green,orange,blue sky,neutral 8 (.23 D),white 9.5 (.05 D),red,black 2 (1.5 D),yellow green,purplish blue,neutral 6.5 (.44 D),blue flower,magenta,dark skin,blue,neutral 5 (.70 D),neutral 3.5 (1.05 D),yellow,light skin,orange yellow,moderate red,green,purple
