,d000220_300_021->d000220_300_021,d000220_300_021->d000220_300_022,d000220_300_021->d000220_300_038,d000220_300_021->d000320_300_003,d000220_300_022->d000220_300_021,d000220_300_022->d000220_300_022,d000220_300_022->d000220_300_038,d000220_300_022->d000320_300_003,d000220_300_038->d000220_300_021,d000220_300_038->d000220_300_022,d000220_300_038->d000220_300_038,d000220_300_038->d000320_300_003,d000320_300_003->d000220_300_021,d000320_300_003->d000220_300_022,d000320_300_003->d000220_300_038,d000320_300_003->d000320_300_003
dark skin,2.14461396136,3.1897647723,2.73693353172,2.97361296085,1.7597238878,2.44978783863,2.0904978287,2.70419949074,1.32297433803,2.1211153966,1.73029348509,2.497345366,3.22681749309,3.99091498215,3.39480772951,1.8207152372
light skin,0.886559632939,0.114636900478,0.316637826231,3.25356741819,1.42989953325,0.715160865806,0.649895317028,3.2534894943,1.80387215805,0.987811603837,0.833382857665,3.22286819656,3.91866425934,3.61042090261,3.3284179478,0.81605744779
blue sky,1.09048895042,1.10518722249,1.85262331693,4.35083091698,1.30464978492,1.02772608244,1.54575483733,4.02399463034,1.45422487121,1.00824400033,1.31109150124,3.79357837059,3.07761421014,2.89233444417,2.17396281778,0.831300675709
foliage,3.81361950139,4.23113318801,4.36042214765,5.17889070661,3.20942667937,3.6003284243,3.66326598841,4.22579712829,3.75304194029,4.07773891284,4.04291171934,4.89406022016,3.77672602601,3.9136201998,3.66634026285,3.43404764549
blue flower,2.75415461364,2.57965677013,2.39939541264,1.6758277331,3.13666686155,3.05511397816,2.74568872991,1.7917375489,3.65700471409,3.52574005069,3.01134561084,1.79413555692,7.19334169872,7.1439309279,6.53783890973,4.6023486184
bluish green,1.08064739382,0.818946118709,1.22112200733,1.2300148129,1.75107671897,1.10820444432,1.5721389982,1.87825744888,2.28676876494,1.65062480988,1.51689630845,1.72811652201,4.68202313087,4.27895441871,4.01661141157,3.3696288283
orange,0.984721348046,0.549017379592,0.65425080518,3.11163109072,2.29483850904,1.57635104505,1.82199793989,3.55664452385,1.95424422929,1.25624182977,1.51866071953,3.23705395265,3.86602352075,4.06642665074,4.22907074082,1.24907935206
purplish blue,2.34358975774,2.61589134044,2.47934614675,4.90655090371,1.77604459983,2.05478857219,1.96702410536,4.37923832384,2.78466079829,3.00410674203,2.84461769814,5.02551322399,3.80360355305,3.71604668733,3.67764342786,3.64572569184
moderate red,2.07543161949,1.42718931181,1.78271403795,1.48054851357,2.3128874141,1.77565549539,2.06870798046,1.2878386976,2.72773889729,1.96351277456,2.31108884357,0.94198850296,5.12362743345,4.53135842838,4.79281075051,1.91627078837
purple,2.01903360023,2.07039104809,2.39976041563,2.03066765786,2.25248090644,2.30381080948,2.61690818791,2.25213918418,2.32922409095,2.38877712851,2.68808430193,1.8292533158,4.22339678509,4.27380982438,4.53043757545,2.50017204956
