fit_frame,estimator,mean_dE_before,mean_dE_after_insample,max_dE_after_insample,n_rejected,rejected,condition_number
chip,prof_geomed_srgb,7.89561504871,1.10830941044,3.34906419956,0,,98.3427122714
chip,prof_geomed_srgb_strict,7.68561510437,1.13860302486,3.36053977027,0,,96.8236910139
chip,core_geomed_lab,7.70018089427,1.13047404856,3.36328192166,0,,102.561491273
chip,core_medoid_de2000,7.69786904314,1.12703916174,3.37249612676,0,,98.3834567559
chip,core_mean_srgb,7.91035198523,1.12504713157,3.3622962685,0,,71.8134108144
d000220_300_021,prof_geomed_srgb,20.3091911517,1.35906401601,3.78301756137,0,,32.8373458592
d000220_300_021,prof_geomed_srgb_strict,19.9078852894,1.57035752244,4.36586149724,0,,31.4662767247
d000220_300_021,core_geomed_lab,19.9367548553,1.56901410011,4.36417994744,0,,31.2320788152
d000220_300_021,core_medoid_de2000,19.9408580066,1.57160911151,4.33067270318,0,,36.5478931267
d000220_300_021,core_mean_srgb,20.4998706261,1.44547499721,4.1300641691,0,,52.0387757396
d000220_300_022,prof_geomed_srgb,19.9831525862,1.3933444654,3.61505532943,0,,116.765331654
d000220_300_022,prof_geomed_srgb_strict,19.4814600285,1.55323169358,4.55350282751,0,,45.6693831342
d000220_300_022,core_geomed_lab,19.5137516819,1.55561597706,4.55030248274,0,,48.5665618342
d000220_300_022,core_medoid_de2000,19.5066300496,1.57686110548,4.60299322601,0,,45.4212696298
d000220_300_022,core_mean_srgb,20.1181263139,1.47943371827,3.99536831669,0,,100.305118139
d000220_300_038,prof_geomed_srgb,19.8849622686,1.49024100421,4.78750597933,0,,43.6747012393
d000220_300_038,prof_geomed_srgb_strict,19.4323017853,1.48081463693,4.86915402017,0,,28.0638949169
d000220_300_038,core_geomed_lab,19.4593746793,1.47974154856,4.80331078751,0,,29.9560804572
d000220_300_038,core_medoid_de2000,19.4808103814,1.47118323738,4.64231230812,0,,25.7071043103
d000220_300_038,core_mean_srgb,20.0323236136,1.42936610986,4.56816782256,0,,47.692642834
d000320_300_003,prof_geomed_srgb,17.8903623254,1.51055853964,3.65538472273,0,,41.3725465683
d000320_300_003,prof_geomed_srgb_strict,17.3568114676,1.56087643546,4.2251938594,0,,30.7889822581
d000320_300_003,core_geomed_lab,17.4083632882,1.56559557575,4.21655427669,0,,30.6675572907
d000320_300_003,core_medoid_de2000,17.4111419436,1.58685381676,4.16918321827,0,,34.2559911226
d000320_300_003,core_mean_srgb,18.0957531942,1.41998281537,3.43440382671,0,,38.1915732819
