,Metadata_Condition,Metadata_Media,Metadata_Set,Metadata_Replicate,Metadata_Time,Metadata_Strain,Metadata_FileName,ObjectLabel,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_RowIntervalStart,Grid_RowIntervalEnd,Grid_ColNum,Grid_ColIntervalStart,Grid_ColIntervalEnd,Grid_SectionIndex,Grid_SectionNum,Shape_Area,Shape_Perimeter,Shape_Circularity,Shape_ConvexArea,Shape_MedianRadius,Shape_MeanRadius,Shape_Eccentricity,Shape_Solidity,Shape_Extent,Shape_BboxArea,Shape_MajorAxisLength,Shape_MinorAxisLength,Shape_Compactness,Shape_Orientation,Metadata_StrainID,CorrectedCarryingCapacity_Area,Metadata_Dataset
0,30C,S,3,4,24,CBS11445,30C_2_3S_4,14,263.025755324,327.103516592,236,305,291,351,1,190,352,1,230,392,"(1, 1)",13,2019.0,168.367532368,0.895013300585,160.010589849,7.61577310586,8.50492862944,0.538757643277,12.6179148637,0.798023715415,2530.0,55.2946232794,46.5835526383,1.11730183154,-0.0846760257136,220,4183.333333333333,S 30C
1,30C,S,3,5,24,CBS11445,30C_2_3S_5,14,309.120465741,291.332736229,282,267,337,318,1,228,390,1,219,383,"(1, 1)",13,2233.0,177.781745931,0.88781862836,168.622738568,8.0,8.91426407195,0.39437586853,13.2425793755,0.796078431373,2805.0,55.7110877345,51.1956607821,1.12635618138,-0.0811849506139,220,3225.3333333333335,S 30C
2,30C,S,3,6,24,CBS11445,30C_2_3S_6,13,312.525657611,262.907287624,284,238,343,288,1,239,397,1,195,360,"(1, 1)",13,2319.0,182.267027305,0.877191453522,172.241071663,8.0,9.02852285904,0.515095004551,13.4636877117,0.786101694915,2950.0,58.7718039907,50.3752580387,1.14000198701,0.063090328131,220,2984.6666666666665,S 30C
3,30C,S,3,12,24,CBS11445,30C_2_3S_12,16,296.079597822,305.151654797,267,280,326,332,1,217,377,1,232,393,"(1, 1)",13,2387.0,181.681240867,0.908745154535,173.513638795,8.0622577483,9.27942956165,0.476918747637,13.7568436497,0.778031290743,3068.0,58.8341188909,51.7120950334,1.10041852219,0.148892592033,220,3074.6666666666665,S 30C
4,30C,S,3,8,24,CBS11445,30C_2_3S_8,14,318.208931419,260.158426369,293,237,344,284,1,238,400,1,187,348,"(1, 1)",13,1881.0,164.367532368,0.874916464251,154.853365386,7.07106781187,8.12204457959,0.425502101402,12.1469752712,0.784730913642,2397.0,51.5657160396,46.6647781935,1.14296626119,0.142562367059,220,2988.3333333333335,S 30C
5,30C,S,3,11,24,CBS11445,30C_2_3S_11,13,327.983356449,267.840036986,299,245,357,292,1,253,411,1,202,366,"(1, 1)",13,2163.0,177.296464556,0.864701540116,168.418260718,7.61577310586,8.53821729931,0.566416245519,12.8430253987,0.793470286134,2726.0,58.00689051,47.8045985717,1.1564683924,0.0677790366472,220,2763.6666666666665,S 30C
6,30C,S,3,9,24,CBS11445,30C_2_3S_9,15,249.350726197,249.231307154,225,227,275,274,1,170,330,1,175,339,"(1, 1)",13,1859.0,162.710678119,0.882383022915,153.911595398,7.07106781187,8.08595011405,0.386588578839,12.078362226,0.791063829787,2350.0,50.7680683076,46.8209668235,1.13329469633,0.103091008466,220,2986.6666666666665,S 30C
7,30C,S,3,4,36,CBS11445,30C_3_3S_4,13,281.276197896,361.055317491,252,335,312,389,1,210,372,1,264,427,"(1, 1)",13,2567.0,187.681240867,0.915786000832,179.675728546,8.54400374532,9.63195134562,0.49223255964,14.2868489849,0.792283950617,3240.0,61.3195703178,53.3764619707,1.09195816391,-0.154969121041,220,4183.333333333333,S 30C
8,30C,S,3,5,36,CBS11445,30C_3_3S_5,13,278.822921155,250.354588539,251,225,307,276,1,197,359,1,179,343,"(1, 1)",13,2321.0,178.367532368,0.916755230085,170.532111985,8.0622577483,9.19963207308,0.406429269792,13.6103398532,0.812675070028,2856.0,56.9022373645,51.9905641,1.0908037033,-0.0437655640557,220,3225.3333333333335,S 30C
9,30C,S,3,6,36,CBS11445,30C_3_3S_6,13,336.14291598,292.97446458,308,266,364,320,1,260,418,1,224,390,"(1, 1)",13,2428.0,182.024386618,0.920872266955,174.277168279,8.24621125124,9.44179123844,0.310895318068,13.9318306808,0.80291005291,3024.0,57.0815508753,54.2528266709,1.08592693676,-0.123235651598,220,2984.6666666666665,S 30C
10,30C,S,3,3,36,CBS11445,30C_3_3S_3,14,286.948142415,315.274380805,258,289,317,343,1,214,373,1,218,382,"(1, 1)",13,2584.0,188.024386618,0.918489111487,179.662095551,8.54400374532,9.72438033819,0.414422331849,14.3825551632,0.811048336472,3186.0,60.1432762627,54.735474533,1.08874453436,0.0664943814396,220,4042.6666666666665,S 30C
11,30C,S,3,12,36,CBS11445,30C_3_3S_12,15,310.363911727,293.274772826,282,268,339,320,1,231,393,1,223,385,"(1, 1)",13,2311.0,177.681240867,0.919870417579,170.241373485,8.0622577483,9.18393893658,0.424372826486,13.5748434865,0.779689608637,2964.0,57.035290165,51.6447451845,1.08710964163,0.30116758473,220,3074.6666666666665,S 30C
12,30C,S,3,10,36,CBS11445,30C_3_3S_10,13,374.037815126,250.053221289,347,226,401,275,1,296,454,1,183,349,"(1, 1)",13,2142.0,171.781745931,0.912168993563,164.408432857,7.90512483795,8.82541459657,0.406645131583,13.0285287852,0.809523809524,2646.0,54.6983430872,49.9716511717,1.09628808593,-0.13363770891,220,2861.0,S 30C
13,30C,S,3,8,36,CBS11445,30C_3_3S_8,13,301.746190476,299.826190476,276,276,329,324,1,222,384,1,226,387,"(1, 1)",13,2100.0,172.124891681,0.890721220055,163.201525605,7.61577310586,8.66333804854,0.435530799974,12.8675267723,0.825471698113,2544.0,54.5957224296,49.1456405022,1.12268572645,0.0490264752268,220,2988.3333333333335,S 30C
14,30C,S,3,9,36,CBS11445,30C_3_3S_9,13,336.713539192,230.544418052,311,206,363,256,1,254,416,1,167,329,"(1, 1)",13,2105.0,170.953318806,0.905121521403,163.125656103,7.81024967591,8.71497302215,0.389971136455,12.9041626577,0.809615384615,2600.0,54.0097603702,49.7336499763,1.10482402236,0.153401988749,220,2986.6666666666665,S 30C
15,30C,S,3,2,48,CBS11445,30C_4_3S_2,15,251.8633235,235.610291708,221,206,284,266,1,178,340,1,162,322,"(1, 1)",13,3051.0,203.338095117,0.927287851707,195.474557324,9.21954445729,10.5619545013,0.366315145336,15.608169379,0.807142857143,3780.0,64.638982826,60.1459818077,1.0784137829,-0.189061959826,220,4085.3333333333335,S 30C
16,30C,S,3,3,48,CBS11445,30C_4_3S_3,14,314.352431712,285.31745503,282,257,347,315,1,278,444,1,187,351,"(1, 1)",13,3002.0,204.752308679,0.89983511556,194.657957241,9.21954445729,10.4209269929,0.411881959613,15.4219228566,0.796286472149,3770.0,64.8015987078,59.0496279551,1.11131470945,-0.0317421506768,220,4042.6666666666665,S 30C
17,30C,S,3,1,48,CBS11445,30C_4_3S_1,17,240.289382071,344.143603133,213,320,269,370,1,170,332,1,249,412,"(1, 1)",13,2298.0,177.539105243,0.916161072539,170.359445859,8.0,9.07993455536,0.494556368275,13.489125821,0.820714285714,2800.0,58.0908470045,50.4894015545,1.09151112176,-0.146634999265,220,3936.0,S 30C
18,30C,S,3,4,48,CBS11445,30C_4_3S_4,15,260.541570818,366.797896812,229,338,294,397,1,188,350,1,266,430,"(1, 1)",13,3043.0,206.752308679,0.894563307944,195.71032983,9.21954445729,10.4355721768,0.445059492554,15.548489457,0.793481095176,3835.0,65.8181210426,58.9401934722,1.11786386846,-0.108950727989,220,4183.333333333333,S 30C
19,30C,S,3,5,48,CBS11445,30C_4_3S_5,13,292.681555641,246.635348479,264,220,322,275,1,214,374,1,172,336,"(1, 1)",13,2597.0,188.267027305,0.92073209723,180.216408705,8.54400374532,9.72744840622,0.36797541301,14.4104525146,0.814106583072,3190.0,59.6638597027,55.4775760493,1.08609225529,0.0924313362814,220,3225.3333333333335,S 30C
20,30C,S,3,6,48,CBS11445,30C_4_3S_6,13,362.226090283,283.283473604,333,255,391,311,1,286,443,1,218,382,"(1, 1)",13,2614.0,188.852813742,0.921018868798,181.203691621,8.54400374532,9.75632289939,0.245069014338,14.4257546665,0.804802955665,3248.0,58.6629163497,56.8740280245,1.08575408591,0.0472012182717,220,2984.6666666666665,S 30C
21,30C,S,3,8,48,CBS11445,30C_4_3S_8,13,293.366286439,241.769750739,266,216,322,268,1,214,374,1,171,331,"(1, 1)",13,2367.0,182.367532368,0.894361464898,172.862897048,8.0622577483,9.2113862535,0.410990331399,13.6929326097,0.812843406593,2912.0,57.570408372,52.4834699712,1.11811615242,-0.0769552714687,220,2988.3333333333335,S 30C
22,30C,S,3,9,48,CBS11445,30C_4_3S_9,14,262.42815735,255.40621118,235,230,291,282,1,182,342,1,181,344,"(1, 1)",13,2415.0,183.195959493,0.904263950471,175.273975099,8.0622577483,9.31897904963,0.381687452374,13.7784288776,0.829326923077,2912.0,57.756673506,53.383999632,1.10587179714,0.158834179201,220,2986.6666666666665,S 30C
23,30C,S,3,13,48,CBS11445,30C_4_3S_13,20,296.644944897,268.566842357,271,245,325,293,1,227,388,1,195,355,"(1, 1)",13,2087.0,169.539105243,0.912415258553,162.485136988,7.81024967591,8.69258629905,0.479268120098,12.8442517186,0.805169753086,2592.0,55.0831699492,48.3447654405,1.09599219284,0.0356934546735,220,2800.3333333333335,S 30C
24,30C,S,3,12,48,CBS11445,30C_4_3S_12,15,262.474530831,331.463806971,233,305,293,359,1,182,342,1,261,422,"(1, 1)",13,2611.0,189.43860018,0.91428118815,180.931906782,8.54400374532,9.77561485071,0.400768142321,14.4308433291,0.805864197531,3240.0,60.2577420106,55.2069086001,1.09375541459,0.01375971135,220,3074.6666666666665,S 30C
25,30C,S,3,10,48,CBS11445,30C_4_3S_10,14,343.731454621,293.041442188,316,267,372,320,1,265,422,1,228,392,"(1, 1)",13,2413.0,181.195959493,0.923570745049,174.27115616,8.24621125124,9.35065260764,0.369328618624,13.8462385467,0.813005390836,2968.0,57.5645740793,53.4946930766,1.08275408826,-0.124693563706,220,2861.0,S 30C
26,30C,S,3,11,48,CBS11445,30C_4_3S_11,14,300.334487235,285.152315015,274,260,328,312,1,223,381,1,218,382,"(1, 1)",13,2311.0,178.124891681,0.915293931584,170.393438617,8.0622577483,9.17658950904,0.309119060683,13.5627288161,0.823005698006,2808.0,55.6821974432,52.9550697744,1.09254520924,0.129993802969,220,2763.6666666666665,S 30C
27,30C,S,3,15,48,CBS11445,30C_4_3S_15,13,284.749050873,282.522399393,254,257,317,308,1,212,371,1,214,376,"(1, 1)",13,2634.0,191.195959493,0.905457800031,183.370554454,8.54400374532,9.60392973379,0.6221143381,14.364356414,0.8197945845,3213.0,65.513375576,51.2921513967,1.10441370097,0.19874150029,220,3031.6666666666665,S 30C
28,30C,S,3,14,48,CBS11445,30C_4_3S_14,17,238.540413534,283.88768797,213,260,266,309,1,180,338,1,215,378,"(1, 1)",13,2128.0,170.953318806,0.915011210236,163.579977131,7.81024967591,8.78917223094,0.469108770293,13.0089271152,0.819407008086,2597.0,55.4358054525,48.9575992611,1.09288278527,0.31793283868,220,3026.0,S 30C
29,30C,S,3,16,48,CBS11445,30C_4_3S_16,16,354.161663808,281.199828473,326,256,383,308,1,287,448,1,203,363,"(1, 1)",13,2332.0,178.852813742,0.916108380895,170.699491058,8.0622577483,9.26798594453,0.334137543328,13.6614349905,0.78677462888,2964.0,56.1428185286,52.9159721051,1.09157390201,-0.0534305826863,220,3304.3333333333335,S 30C
30,30C,S,3,2,60,CBS11445,30C_5_3S_2,18,288.268624252,258.154703643,254,226,324,292,1,214,377,1,173,336,"(1, 1)",13,3678.0,224.651803616,0.915802383655,214.688235215,10.0498756211,11.5475487924,0.336357881273,17.1318190599,0.796103896104,4620.0,70.539523197,66.4294841524,1.09193862983,-0.015974315471,220,4085.3333333333335,S 30C
31,30C,S,3,3,60,CBS11445,30C_5_3S_3,14,307.689915966,270.13557423,274,238,343,303,1,236,396,1,174,338,"(1, 1)",13,3570.0,223.823376491,0.895503307255,211.938739638,10.0,11.3429139168,0.371214028247,16.8444900922,0.795986622074,4485.0,69.9959329178,64.9945366663,1.11669045988,0.0798195939887,220,4042.6666666666665,S 30C
32,30C,S,3,1,60,CBS11445,30C_5_3S_1,17,250.572078376,286.527641707,220,260,283,315,1,182,344,1,191,354,"(1, 1)",13,2858.0,198.610173055,0.910477271462,189.788692349,9.0,10.1467920917,0.470512877285,15.0588528992,0.82481962482,3465.0,64.2805008964,56.7206722542,1.09832505582,-0.0515469187614,220,3936.0,S 30C
33,30C,S,3,4,60,CBS11445,30C_5_3S_4,16,272.254064481,316.409754753,238,285,308,350,1,201,363,1,218,382,"(1, 1)",13,3629.0,223.823376491,0.910302941745,213.642508263,10.0,11.429562451,0.412892768727,16.9863199487,0.797582417582,4550.0,71.2662619767,64.9078607753,1.09853539315,-0.119298257689,220,4183.333333333333,S 30C
34,30C,S,3,5,60,CBS11445,30C_5_3S_5,13,286.569607514,265.438443475,256,237,318,295,1,207,367,1,191,355,"(1, 1)",13,2981.0,199.681240867,0.939501129181,193.113917078,9.21954445729,10.4782034148,0.357212614111,15.4364845636,0.828976640712,3596.0,63.7734453043,59.5658709779,1.064394676,-0.0728249813613,220,3225.3333333333335,S 30C
35,30C,S,3,6,60,CBS11445,30C_5_3S_6,13,298.864145658,297.268907563,268,268,329,327,1,223,380,1,233,397,"(1, 1)",13,2856.0,197.338095117,0.921607931603,189.178294218,9.0,10.1927837889,0.258699938436,15.0968693941,0.793553764935,3599.0,61.4255266791,59.3344624964,1.08506010605,-0.159444680529,220,2984.6666666666665,S 30C
36,30C,S,3,12,60,CBS11445,30C_5_3S_12,15,320.428373222,310.054110302,289,282,352,339,1,241,401,1,243,403,"(1, 1)",13,2883.0,198.509667992,0.919371804124,189.915661588,9.0,10.2748598344,0.401759856133,15.1804225934,0.802840434419,3591.0,63.3327965481,57.9966956816,1.08769922627,0.114467044963,220,3074.6666666666665,S 30C
37,30C,S,3,10,60,CBS11445,30C_5_3S_10,14,363.207365034,248.304612084,333,220,393,277,1,285,442,1,182,346,"(1, 1)",13,2797.0,196.267027305,0.912446986409,187.695987691,8.94427191,10.0498423026,0.360159094736,14.9017570083,0.81783625731,3420.0,61.8469611447,57.6964670847,1.0959540827,-0.313328743088,220,2861.0,S 30C
38,30C,S,3,8,60,CBS11445,30C_5_3S_8,13,311.345766505,251.115628497,282,224,341,279,1,231,391,1,175,336,"(1, 1)",13,2681.0,192.610173055,0.908130443973,183.665455176,8.60232526704,9.81907620057,0.38257336466,14.5971924739,0.826194144838,3245.0,60.8526044812,56.2232496765,1.10116339193,-0.0514380604783,220,2988.3333333333335,S 30C
39,30C,S,3,9,60,CBS11445,30C_5_3S_9,13,289.988505747,233.074898035,261,206,320,262,1,209,369,1,164,326,"(1, 1)",13,2697.0,192.024386618,0.919132319374,184.481271006,8.94427191,9.89212123166,0.3132953044,14.6193702227,0.816283292978,3304.0,60.1956224495,57.1651192607,1.08798263201,0.0925238522982,220,2986.6666666666665,S 30C
40,30C,S,3,11,60,CBS11445,30C_5_3S_11,13,351.147298873,260.970073844,323,234,380,289,1,274,432,1,194,358,"(1, 1)",13,2573.0,188.367532368,0.911250024907,179.680520647,8.54400374532,9.67029621895,0.286009374722,14.3198605543,0.820733652313,3135.0,58.5196504005,56.0750984804,1.09739365999,-0.161807032177,220,2763.6666666666665,S 30C
41,30C,S,3,8,72,CBS11445,30C_6_3S_8,11,226.486569793,450.368560106,200,422,253,479,1,196,382,1,346,485,"(1, 1)",13,2271.0,194.166522241,0.756969348721,171.011373769,8.0,8.91486353121,0.38209569263,13.2798184702,0.751737835154,3021.0,56.0082614677,51.7585093559,1.32105745324,-1.38161689324,220,2988.3333333333335,S 30C
42,30C,S,3,9,72,CBS11445,30C_6_3S_9,13,273.003878702,248.246473907,244,220,303,278,1,192,352,1,174,338,"(1, 1)",13,2836.0,198.367532368,0.905680274051,189.655716361,9.0,10.1169674117,0.274804660519,14.9534116578,0.828755113968,3422.0,61.3583431102,58.9960516406,1.10414240947,0.232440179374,220,2986.6666666666665,S 30C
43,30C,S,3,12,72,CBS11445,30C_6_3S_12,14,311.802453196,295.934151065,279,267,345,326,1,233,393,1,230,390,"(1, 1)",13,3074.6666666666665,207.338095117,0.905593025335,196.970400374,9.21954445729,10.6315032698,0.404705283604,15.7282515246,0.795582948125,3894.0,65.6999218014,60.0791078013,1.10424878729,0.0969746180142,220,3074.6666666666665,S 30C
