Metadata_Dataset,Metadata_Strain,r,K,N0,d(A)/dt Area/hour,Kmax,NumSamples,OptimizerLoss,OptimizerStatus,MAE,MSE,RMSE
S 30C,NRRLY-1008,0.24198261870484683,1698.8209982568087,0.05376317245651547,102.77128846724115,5092.0,5,53954.744742505965,2,124.65361058508202,19047.022072510612,138.0109491037237
S 30C,NRRLY-1052,0.31580575221954243,2203.030938294957,78.70720003717948,173.93246065779084,3177.3333333333335,5,66906.26225468112,0,122.97983026749553,18015.14294271154,134.22050120123802
S 30C,NRRLY-108,0.17773928788610388,2260.5044501114126,106.47004781965033,100.44511280654282,5092.0,5,108485.16241119824,2,180.14035956364532,38252.02871152122,195.58125858967475
S 30C,NRRLY-10935,0.08953707697175951,2889.5359691498834,329.44940226199157,64.6801511206102,5092.0,5,255822.61075490701,2,239.4319777382813,75276.13507243736,274.3649669189515
S 30C,NRRLY-10987,0.12907439263690562,3134.481041209272,239.53782355138878,101.14530915649559,5092.0,5,180357.41235785797,2,221.40678296871548,55916.86166787739,236.4674642902854
S 30C,NRRLY-1100,0.21089543749568518,2055.9996759525357,75.76588967906173,108.40023778774925,5092.0,5,83221.28457997594,2,145.87549156953332,29090.643185009918,170.5597935769445
S 30C,NRRLY-1108,0.31237908154049693,2397.8939361824478,70.45925366441348,187.26297635404998,5092.0,5,103912.66446320957,2,169.92139220077152,31957.398485167498,178.76632368868442
S 30C,NRRLY-1110,0.2935974460652256,2512.4831336779353,72.62109482443165,184.41465783244914,5092.0,5,153700.9505847172,3,214.61388994105081,52052.546553120075,228.1502718672938
S 30C,NRRLY-1122,0.08811054437821957,2446.8781522116947,133.17645038021374,53.898941504636106,5092.0,5,51277.31507614377,2,97.39240783396038,15557.069765024073,124.7279830872931
S 30C,NRRLY-1127,0.10105897713854708,3046.6830411528367,290.81248470880183,76.9736679510659,5092.0,5,191006.29955837986,2,210.22198336883602,54683.26961679848,233.8445415586998
S 30C,NRRLY-1137,0.13016349258434942,2987.9942678666716,250.3975738007427,97.23194243188553,5092.0,5,274574.2011922482,2,280.89515817542804,92512.94968706873,304.15941492426094
S 30C,NRRLY-1150,0.15428144962606696,3077.2953139956944,201.28426076039386,118.69239549268966,5092.0,5,266618.3165159697,2,277.8482331934632,93542.53666942359,305.84724401148947
S 30C,NRRLY-1151,0.14429465975397793,2923.0893835907527,217.37635949099723,105.44654700892319,5092.0,5,272273.3573603893,2,261.8447476238848,94900.18169788583,308.05873092299436
S 30C,NRRLY-1152,0.25480532427717234,2666.9566099167337,79.22808063855956,169.8886859557454,5092.0,5,129736.4875096207,2,177.97814906712156,43461.16726644993,208.4734210072112
