,Metadata_Condition,Metadata_Media,Metadata_Set,Metadata_Replicate,Metadata_Time,Metadata_Strain,Metadata_FileName,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_RowInterval,Grid_ColNum,Grid_ColInterval,Grid_SectionIndex,Grid_SectionNum,Shape_Area,Shape_Perimeter,Shape_Circularity,Shape_ConvexArea,Shape_Orientation,Shape_MedianRadius,Shape_MeanRadius,Shape_Eccentricity,Shape_Solidity,Shape_Extent,Shape_BboxArea,Shape_MajorAxisLength,Shape_MinorAxisLength,Shape_Compactness,Metadata_StrainID,Metadata_BitDepth,Metadata_ImageType,Metadata_ParentImageName,Metadata_ImageName,ObjectLabel,CorrectedCarryingCapacity_Area,Metadata_Dataset
5906,30C,S,1,6,24,NRRLY-1008,2_1S_6,1117.1006289308175,302.47798742138366,1107,298,1128,308,6,"(np.float64(1048.0), np.float64(1208.0))",1,"(np.float64(192.0), np.float64(356.0))","(6, 1)",73,159.0,50.384776310850235,0.7870608653962591,48.47504903354677,0.0,2.0,2.319405636510728,0.8909331408878414,3.280037940548865,0.7571428571428571,210.0,21.169736166766068,9.613907418177654,1.2705497680875455,76,,,,,,2863.3333333333335,S 30C
5907,30C,S,1,5,24,NRRLY-1008,2_1S_5,1055.2222222222222,283.7716049382716,1051,275,1061,295,6,"(np.float64(994.0), np.float64(1157.0))",1,"(np.float64(193.0), np.float64(355.0))","(6, 1)",73,162.0,49.55634918610404,0.8289460562421836,48.08223432745792,0.0,2.0,2.3972711764611736,0.8764407551636918,3.369227787891879,0.81,200.0,20.793153184616944,10.012105200153242,1.2063511159378042,76,,,,,,2967.3333333333335,S 30C
5908,30C,S,1,8,24,NRRLY-1008,2_1S_8,1072.920634920635,375.6984126984127,1067,370,1081,382,6,"(np.float64(1005.0), np.float64(1167.0))",1,"(np.float64(275.0), np.float64(437.0))","(6, 1)",73,126.0,39.798989873223334,0.9996231611452788,38.9082619488568,0.0,2.118033988749895,2.400613261689557,0.6759150453768706,3.238386751009887,0.75,168.0,14.777531536948931,10.8907384852149,1.0003769809157776,76,,,,,,2905.6666666666665,S 30C
5909,30C,S,1,1,36,NRRLY-1008,3_1S_1,1191.0920245398772,274.15337423312883,1185,267,1198,283,6,"(np.float64(1097.0), np.float64(1258.0))",1,"(np.float64(216.0), np.float64(378.0))","(6, 1)",73,163.0,44.62741699796952,1.028475537994434,44.019189926018186,0.0,2.23606797749979,2.7220827542390302,0.5934545959107743,3.7029304781380463,0.7836538461538461,208.0,16.05814693483703,12.924680079653037,0.97231286798521,76,,,,,,4839.333333333333,S 30C
5910,30C,S,1,6,36,NRRLY-1008,3_1S_6,1118.2099644128114,282.19217081850536,1104,276,1134,289,6,"(np.float64(1047.0), np.float64(1207.0))",1,"(np.float64(173.0), np.float64(337.0))","(6, 1)",73,281.0,76.5269119345812,0.6029590339521973,71.90352196378534,0.0,2.23606797749979,2.548989144757632,0.9393330173978288,3.908014410497547,0.7205128205128205,390.0,34.26222345183411,11.752166516323642,1.6584874654673143,76,,,,,,2863.3333333333335,S 30C
5911,30C,S,1,7,36,NRRLY-1008,3_1S_7,1102.7702127659577,277.6936170212766,1094,269,1112,287,6,"(np.float64(1039.0), np.float64(1199.0))",1,"(np.float64(190.0), np.float64(354.0))","(6, 1)",73,235.0,55.698484809834994,0.9518992052626122,54.04183719722611,0.0,2.8284271247461903,3.0759398859585065,0.7144607921819929,4.348482808650003,0.7253086419753086,324.0,20.681393193988917,14.470263697088576,1.0505313949958786,76,,,,,,2770.0,S 30C
5912,30C,S,1,5,36,NRRLY-1008,3_1S_5,1091.891891891892,284.9222972972973,1083,274,1102,299,6,"(np.float64(1011.0), np.float64(1174.0))",1,"(np.float64(198.0), np.float64(360.0))","(6, 1)",73,296.0,71.11269837220809,0.7355416311981242,67.6301586748357,0.0,2.8284271247461903,2.954196029889227,0.8749636518835677,4.376745608762526,0.6231578947368421,475.0,28.697750032748207,13.895123634141694,1.359542352988368,76,,,,,,2967.3333333333335,S 30C
5913,30C,S,1,11,36,NRRLY-1008,3_1S_11,1072.1455696202531,309.8987341772152,1065,304,1080,317,6,"(np.float64(987.0), np.float64(1147.0))",1,"(np.float64(196.0), np.float64(358.0))","(6, 1)",73,158.0,43.798989873223334,1.034996215587741,43.0864075337301,0.0,2.23606797749979,2.7023018738324773,0.5462752152408682,3.667049750581086,0.8102564102564103,195.0,15.490548477199903,12.974972445385742,0.9661871076814827,76,,,,,,2996.3333333333335,S 30C
5914,30C,S,1,4,36,NRRLY-1008,3_1S_4,1107.1371681415928,319.8805309734513,1098,312,1115,333,6,"(np.float64(1010.0), np.float64(1170.0))",1,"(np.float64(244.0), np.float64(406.0))","(6, 1)",73,226.0,62.04163056034261,0.7378225027468136,59.243003522012174,0.0,2.23606797749979,2.5919567695276635,0.753092181623392,3.814796458049735,0.6330532212885154,357.0,22.57071976869723,14.849615418291943,1.355339524448136,76,,,,,,4045.3333333333335,S 30C
5915,30C,S,1,8,36,NRRLY-1008,3_1S_8,1105.057142857143,344.49285714285713,1098,337,1112,351,6,"(np.float64(1035.0), np.float64(1197.0))",1,"(np.float64(240.0), np.float64(402.0))","(6, 1)",73,140.0,43.798989873223334,0.9170852543182516,42.38871993296099,0.0,2.118033988749895,2.4351414175055144,0.6349109585921103,3.3027654579193264,0.7142857142857143,196.0,15.434243414285586,11.924269867008002,1.0904111643833878,76,,,,,,2905.6666666666665,S 30C
5916,30C,S,1,6,48,NRRLY-1008,4_1S_6,1114.053672316384,323.861581920904,1093,301,1134,341,6,"(np.float64(1040.0), np.float64(1199.0))",1,"(np.float64(222.0), np.float64(385.0))","(6, 1)",73,1062.0,147.39696961967,0.6142671224840922,128.36341783998634,0.0,4.242640687119285,4.736464958356747,0.5978983671374937,8.273385189258942,0.6475609756097561,1640.0,44.578214118783414,35.732644671404856,1.627956248017974,76,,,,,,2863.3333333333335,S 30C
5917,30C,S,1,12,48,NRRLY-1008,4_1S_12,1126.778251599147,298.47547974413646,1119,282,1136,315,6,"(np.float64(1038.0), np.float64(1200.0))",1,"(np.float64(208.0), np.float64(369.0))","(6, 1)",73,469.0,85.94112549695427,0.7979591017956753,82.16275728231372,0.0,3.605551275463989,3.7577724680843785,0.860999129607554,5.708182338483382,0.8360071301247772,561.0,34.45422556857752,17.523640603125077,1.253197059535589,76,,,,,,3177.3333333333335,S 30C
5918,30C,S,1,13,48,NRRLY-1008,4_1S_13,1136.0264051301397,281.90418709920783,1107,254,1166,311,6,"(np.float64(1043.0), np.float64(1203.0))",1,"(np.float64(209.0), np.float64(372.0))","(6, 1)",73,2651.0,192.2670273047588,0.9011767291933702,182.3260568935308,0.0,8.54400374531753,9.79956296001386,0.184736749197245,14.539885549919232,0.7882842699970265,3363.0,58.653433980860726,57.64389347888128,1.1096602559800728,76,,,,,,3477.0,S 30C
