,ObjectLabel,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_ColNum,Grid_SectionNum,Size_Area,Size_IntegratedIntensity
0,1,3.07142857143,182.626984127,0,174,10,193,0,0,0,126.0,34.6166141176
1,2,105.31372549,299.941176471,101,295,111,306,0,1,1,51.0,14.5814807843
2,3,146.067464115,634.450717703,119,611,174,659,0,3,3,2090.0,613.200891373
3,4,148.39654321,1606.54222222,121,1585,178,1629,0,9,9,2025.0,737.774866667
4,5,153.518557423,957.68662465,123,930,186,986,0,5,5,2856.0,1087.26475059
5,6,152.781439722,1767.82610581,124,1741,182,1794,0,10,10,2306.0,845.276318824
6,7,144.220207254,1911.82124352,125,1896,166,1930,0,11,11,1158.0,327.113984706
7,8,154.888347544,484.808769793,126,460,186,511,0,2,2,2463.0,879.730081569
8,9,153.712039046,1446.18058568,127,1426,182,1468,0,8,8,1844.0,661.693942353
9,10,158.242028986,797.973429952,131,775,187,822,0,4,4,2070.0,745.650913333
10,11,161.285428142,1285.94692038,135,1263,190,1308,0,7,7,1997.0,742.09646
11,12,142.892307692,1122.35384615,138,1119,149,1126,0,6,6,65.0,17.3039992157
12,13,296.129864253,1282.6199095,268,1259,325,1307,1,7,19,2210.0,878.385783137
13,14,296.160355306,1444.38382422,269,1422,325,1468,1,8,20,2139.0,767.346876471
14,15,295.263380282,1931.6971831,269,1908,323,1957,1,11,23,2130.0,776.715563137
15,16,295.571125265,1606.17675159,270,1585,322,1628,1,9,21,1884.0,647.719656863
16,17,299.624245239,1121.70413377,273,1098,328,1146,1,6,18,2153.0,832.816236471
17,18,302.01415303,637.069438302,274,613,331,662,1,3,15,2261.0,836.506637647
18,19,305.074100212,479.596330275,275,460,329,504,1,2,14,1417.0,418.369487843
19,20,302.669287212,798.741090147,278,777,330,822,1,4,16,1908.0,712.646700784
20,21,306.499038462,315.136057692,281,292,334,339,1,1,13,2080.0,772.865661961
21,22,301.159399571,961.215868477,281,941,322,981,1,5,17,1399.0,429.675570588
22,23,317.220504009,121.806414662,293,99,342,146,1,0,12,1746.0,506.599720392
23,24,376.375,531.994791667,360,524,390,542,2,2,26,384.0,104.377756078
24,25,458.795235394,1767.67158253,434,1747,484,1788,2,10,34,1763.0,622.815988235
25,26,458.502094554,1933.7839617,435,1915,485,1954,2,11,35,1671.0,569.259395294
26,27,460.203589109,1607.0519802,437,1587,485,1627,2,9,33,1616.0,594.243471373
27,28,462.238636364,1445.62626263,439,1426,486,1466,2,8,32,1584.0,583.353543922
28,29,468.989773233,312.437083148,442,288,498,338,2,1,25,2249.0,858.660567451
29,30,459.458281445,1286.89041096,443,1271,483,1304,2,7,31,803.0,228.52799451
30,31,470.190541155,123.509777171,444,99,498,149,2,0,24,2199.0,779.026608235
31,32,465.831034483,800.017241379,445,780,488,821,2,4,28,1450.0,453.884074118
32,33,464.030438675,1124.00537153,445,1105,483,1142,2,6,30,1117.0,326.413805882
33,34,456.090909091,602.0,451,597,462,610,2,3,27,99.0,28.23998
34,35,478.089285714,973.985449735,457,954,501,995,2,5,29,1512.0,536.745418039
35,36,599.548543689,1112.92354369,577,1091,624,1135,3,6,42,1648.0,537.493419608
36,37,608.289940828,1276.34911243,580,1252,637,1302,3,7,43,2366.0,863.075121961
37,38,609.712955466,1606.16842105,580,1581,640,1632,3,9,45,2470.0,940.859321176
38,39,607.176626826,1766.62350598,583,1746,631,1787,3,10,46,1506.0,466.000519608
39,40,608.10883905,1929.18007916,586,1909,631,1951,3,11,47,1516.0,482.914441569
40,41,615.024567789,961.820291174,588,937,643,987,3,5,41,2198.0,842.700481569
41,42,616.51801406,797.608963093,589,772,646,824,3,4,40,2276.0,786.166094118
42,43,619.314822547,474.211273486,592,449,648,501,3,2,38,2395.0,883.987724314
43,44,619.072010287,312.958422632,593,288,648,339,3,1,37,2333.0,899.117081961
44,45,626.36128759,133.10969928,599,107,655,159,3,0,36,2361.0,884.132936863
45,46,627.760583942,646.513381995,601,623,654,671,3,3,39,2055.0,723.263017255
46,47,635.709183673,1437.59353741,612,1416,661,1460,3,8,44,1764.0,588.099904314
47,48,779.87035106,1932.455683,745,1907,814,1960,4,11,59,2877.0,1115.38465961
48,49,789.418260556,801.534464092,754,774,822,828,4,4,52,2771.0,998.252594118
49,50,785.402460457,1608.92267135,758,1585,815,1634,4,9,57,2276.0,845.84088549
50,51,787.849639547,1286.19052523,763,1263,814,1310,4,7,55,1942.0,668.574196863
51,52,790.166754897,974.994176813,766,952,816,998,4,5,53,1889.0,665.729192549
52,53,789.357420357,1126.57808858,768,1106,811,1146,4,6,54,1287.0,361.669307059
53,54,795.294444444,1776.06388889,768,1753,824,1800,4,10,58,2160.0,801.197214902
54,55,793.786229508,480.249836066,774,458,815,503,4,2,50,1525.0,450.54036549
55,56,795.128908743,655.849393746,775,634,817,679,4,3,51,1567.0,492.823207451
56,57,915.193965517,1923.70517241,883,1903,948,1947,5,11,71,2320.0,780.359498431
57,58,921.900803213,1770.74136546,892,1746,952,1797,5,10,70,2490.0,1005.27740941
58,59,923.21645521,1609.00807382,893,1583,954,1636,5,9,69,2601.0,985.875672157
59,60,924.689429713,1447.45949873,894,1420,956,1475,5,8,68,2753.0,1092.68834235
60,61,924.979306777,1290.14174858,900,1267,951,1314,5,7,67,1933.0,648.187782353
61,62,928.493728048,963.572503763,902,943,956,987,5,5,65,1993.0,734.295182745
62,63,926.941326531,1124.43418367,903,1101,953,1149,5,6,66,1960.0,636.563291373
63,64,929.35532646,804.169072165,905,782,955,825,5,4,64,1455.0,459.729353333
64,65,935.20787037,316.924074074,910,292,962,343,5,1,61,2160.0,798.319614118
65,66,935.045454545,133.685606061,915,114,956,154,5,0,60,1320.0,395.866120784
66,67,1097.75802343,1928.43148242,1068,1910,1128,1951,6,11,83,1963.0,635.962917255
67,68,1106.59150327,1444.55555556,1078,1419,1136,1471,6,8,80,2448.0,935.154772157
68,69,1105.00431448,1767.83125599,1078,1744,1133,1793,6,10,82,2086.0,732.091652941
69,70,1109.3084223,959.142348754,1080,933,1139,986,6,5,77,2529.0,989.342256863
70,71,1109.61478218,1120.83798336,1085,1097,1135,1146,6,6,78,2043.0,677.228862745
71,72,1108.09173273,1283.71970555,1086,1261,1132,1307,6,7,79,1766.0,542.971143137
72,73,1110.28378378,636.822734499,1092,616,1130,659,6,3,75,1258.0,350.783431765
73,74,1118.69334148,1606.48442272,1095,1585,1143,1629,6,9,81,1637.0,504.855578039
74,75,1120.10126582,326.759493671,1112,321,1128,333,6,1,73,158.0,45.4277941176
75,76,1261.06944444,1925.92777778,1226,1901,1298,1953,7,11,95,2880.0,1112.35294078
76,77,1272.147021,1770.23531933,1243,1746,1303,1795,7,10,94,2333.0,900.609662745
77,78,1272.49308557,1444.46585998,1244,1421,1304,1469,7,8,92,2314.0,903.386048235
78,79,1275.33231358,958.330783939,1247,932,1307,986,7,5,89,2615.0,1020.51471059
79,80,1275.61080485,1610.31753032,1248,1589,1299,1629,7,9,93,907.0,281.345837255
80,81,1276.36417774,1124.28034814,1249,1102,1305,1149,7,6,90,2183.0,808.392692157
81,82,1275.53924731,133.336021505,1252,111,1300,158,7,0,84,1860.0,653.766052941
82,83,1273.83708709,798.412912913,1253,778,1300,819,7,4,88,1332.0,432.849160784
83,84,1281.98339768,477.232046332,1254,450,1311,505,7,2,86,2590.0,997.163364706
84,85,1280.45187053,637.905002102,1254,612,1308,665,7,3,87,2379.0,894.485695294
85,86,1272.65578111,1280.51809356,1255,1263,1294,1301,7,7,91,1133.0,362.057887451
86,87,1282.81343622,315.294598275,1257,289,1309,342,7,1,85,2203.0,754.919479216
0,1,186.305512422,1694.04541925,157,1668,219,1720,0,9,9,2576.0,896.832173333
1,2,185.02531063,390.460193281,159,366,212,417,0,1,1,2173.0,745.698343922
2,3,187.46351243,1042.49278268,159,1016,218,1069,0,5,5,2494.0,901.505613725
3,4,185.315657829,565.631315658,160,542,212,591,0,2,2,1999.0,683.98503451
4,5,192.242955065,1855.90060929,161,1830,225,1882,0,10,10,2626.0,940.083378824
5,6,190.714406066,1533.11541702,162,1508,221,1558,0,8,8,2374.0,810.419549412
6,7,182.811909263,2000.19565217,165,1984,204,2017,0,11,11,1058.0,307.886279608
7,8,191.150933872,882.305906108,167,859,217,907,0,4,4,1981.0,680.45146549
8,9,198.796610169,210.236047954,170,185,228,238,0,0,0,2419.0,861.762150196
9,10,198.365704998,1371.71190573,170,1346,228,1398,0,7,7,2461.0,877.070644706
10,11,186.784126984,706.755555556,175,695,200,717,0,3,3,315.0,89.015525098
11,12,332.502063983,1370.02218782,307,1348,360,1393,1,7,19,1938.0,745.652966667
12,13,334.442348008,1207.74004193,308,1186,362,1230,1,6,18,1908.0,716.585303922
13,14,333.964190273,1532.53714591,309,1511,361,1555,1,8,20,1871.0,655.139009804
14,15,334.765425803,720.606323304,310,698,361,744,1,3,15,1961.0,697.215788235
15,16,335.162100457,882.95890411,310,862,361,905,1,4,16,1752.0,633.652204706
16,17,336.781862745,395.423039216,312,372,363,420,1,1,13,2040.0,742.71130902
17,18,334.638613861,1695.57920792,312,1675,359,1717,1,9,21,1616.0,558.445199216
18,19,337.063283582,2021.31164179,313,2000,361,2044,1,11,23,1675.0,607.361710588
19,20,335.723802395,1044.42739521,315,1026,358,1064,1,5,17,1336.0,395.331000784
20,21,346.746381372,198.13971051,323,177,372,219,1,0,12,1589.0,479.163858039
21,22,340.729323308,550.157894737,333,544,349,559,1,2,14,133.0,38.1759352941
22,23,498.65135895,202.782567948,472,179,526,228,2,0,24,2134.0,781.031906275
23,24,497.622943112,393.38787024,472,370,525,418,2,1,25,2127.0,804.020605882
24,25,497.30097561,720.905365854,472,698,524,745,2,3,27,2050.0,756.581587843
25,26,496.247311828,1697.23319892,474,1678,519,1718,2,9,33,1488.0,548.419357255
26,27,496.546693933,1534.75664622,475,1516,519,1555,2,8,32,1467.0,535.853585098
27,28,497.3125,1858.78024194,475,1839,520,1879,2,10,34,1488.0,523.264588235
28,29,499.021970706,2022.79693742,476,2003,523,2043,2,11,35,1502.0,513.669698039
29,30,497.635638298,883.680851064,478,867,518,901,2,4,28,1128.0,347.662060392
30,31,495.937804878,1372.18414634,479,1355,515,1388,2,7,31,820.0,242.873707059
31,32,496.45,1209.38333333,480,1193,514,1227,2,6,30,900.0,260.63562
32,33,507.189710611,1057.3585209,493,1045,523,1071,2,5,29,622.0,212.105332549
33,34,633.480754124,1199.55852317,613,1181,656,1218,3,6,42,1273.0,399.546939608
34,35,642.820175439,1364.49805068,617,1341,670,1389,3,7,43,2052.0,731.840297647
35,36,645.35475793,395.06427379,619,369,674,422,3,1,37,2396.0,932.898513333
36,37,646.807657658,557.262162162,621,532,674,583,3,2,38,2220.0,818.386724706
37,38,645.646645022,883.957792208,621,862,672,907,3,4,40,1848.0,619.203411373
38,39,646.253362023,1047.53792361,621,1025,674,1070,3,5,41,1859.0,686.472115686
39,40,646.723851417,1696.21212121,621,1673,674,1720,3,9,45,2046.0,767.022878039
40,41,651.937810945,213.819237148,624,188,681,241,3,0,36,2412.0,940.015544314
41,42,646.574929972,1858.31932773,625,1840,670,1879,3,10,46,1428.0,463.740560392
42,43,647.458267717,2021.07874016,626,2003,670,2040,3,11,47,1270.0,421.508363922
43,44,656.648148148,730.118708452,631,707,684,755,3,3,39,2106.0,753.994707451
44,45,671.451779564,1526.98220436,647,1506,697,1549,3,8,44,1742.0,589.123264314
45,46,818.95672665,886.761782348,791,862,848,913,4,4,52,2334.0,868.742977255
